
1KN,1KN16CS001,7.42,47,60,67,86,74,71,83,32
1KN,1KN16CS002,6.83,53,59,55,80,56,69,86,27
1KN,1KN16CS003,7.17,58,62,49,73,60,94,93,36
1KN,1KN16CS005,5.75,31,40,61,74,69,82,72,34
1KN,1KN16CS006,2.5,26,31,40,42,25,50,78,24
1KN,1KN16CS007,5.08,19,43,45,75,46,70,85,31
1KN,1KN16CS008,4.17,28,43,46,44,46,77,58,29
1KN,1KN16CS010,9.0,80,80,67,95,86,99,94,37
1KN,1KN16CS011,7.42,60,67,58,83,69,68,100,46
1KN,1KN16CS012,7.67,45,62,63,85,75,94,95,30
1KN,1KN16CS013,2.75,26,42,27,57,29,59,64,35
1KN,1KN16CS014,2.33,29,43,27,47,22,45,45,25
1KN,1KN16CS015,6.0,41,44,45,83,48,75,97,39
1KN,1KN16CS016,5.25,43,51,28,73,56,54,86,33
1KN,1KN16CS017,8.0,84,76,69,79,53,91,99,43
1KN,1KN16CS018,6.25,47,50,46,68,63,48,90,33
1KN,1KN16CS019,6.08,43,55,44,71,56,85,73,43
1KN,1KN16CS020,6.42,42,41,75,74,52,81,75,35
1KN,1KN16CS021,5.42,44,54,39,84,57,62,70,35
1KN,1KN16CS022,7.83,77,82,57,68,71,72,93,39
1KN,1KN16CS023,7.83,67,52,76,86,68,96,98,42
1KN,1KN16CS024,3.5,44,12,20,54,42,83,48,31
1KN,1KN16CS025,7.75,58,75,45,91,78,82,99,39
1KN,1KN16CS026,7.92,78,71,67,89,61,64,97,38
1KN,1KN16CS027,6.42,36,64,76,82,47,89,94,37
1KN,1KN16CS028,7.0,57,55,53,88,63,70,78,29
1KN,1KN16CS029,4.33,47,43,20,85,53,14,44,31
1KN,1KN16CS030,9.0,81,75,84,91,76,94,92,33
1KN,1KN16CS031,7.67,70,67,62,79,61,91,71,34
1KN,1KN16CS032,5.92,31,45,49,90,54,95,86,44
1KN,1KN16CS033,4.25,34,40,37,81,48,55,80,32
1KN,1KN16CS034,5.42,40,46,48,66,44,58,87,34
1KN,1KN16CS035,4.58,32,45,40,63,42,79,67,34
1KN,1KN16CS036,2.58,14,25,23,78,24,58,86,29
1KN,1KN16CS037,3.33,35,40,40,17,44,62,82,29
1KN,1KN16CS038,8.08,67,87,68,88,78,60,95,42
1KN,1KN16CS039,6.42,55,49,49,82,54,47,92,24
1KN,1KN16CS041,6.75,43,46,61,80,53,80,90,35
1KN,1KN16CS043,3.67,20,33,33,73,45,80,87,26
1KN,1KN16CS044,6.17,44,64,48,69,46,95,71,38
1KN,1KN16CS045,7.58,44,66,80,70,77,84,100,32
1KN,1KN16CS046,7.0,62,49,60,64,66,95,78,35
1KN,1KN16CS047,6.58,64,28,85,84,51,70,82,35
1KN,1KN16CS048,8.08,73,66,69,90,66,81,98,37
1KN,1KN16CS049,4.75,42,40,31,73,42,86,72,28
1KN,1KN16CS050,1.58,13,24,52,24,18,15,62,25
1KN,1KN16CS051,7.5,64,56,75,85,65,88,69,32
1KN,1KN16CS052,3.83,13,46,33,57,43,80,60,26
1KN,1KN16CS053,6.83,50,56,61,74,51,69,88,33
1KN,1KN16CS054,7.58,64,81,50,86,67,54,82,46
1KN,1KN16CS055,7.0,58,58,55,65,61,95,94,33
1KN,1KN16CS056,6.67,63,52,59,69,56,57,94,35
1KN,1KN16CS057,7.33,57,67,78,64,53,94,91,42
1KN,1KN16CS058,7.83,63,68,58,80,79,93,95,42
1KN,1KN16CS059,8.17,54,92,79,80,76,61,86,41
1KN,1KN16CS060,4.83,27,42,45,62,46,86,63,30
1KN,1KN16CS061,6.42,44,56,61,67,50,78,84,42
1KN,1KN16CS062,4.5,21,32,63,81,42,77,50,22
1KN,1KN16CS063,8.08,68,66,81,87,66,84,95,38
1KN,1KN16CS064,6.33,46,50,56,77,54,71,57,28
1KN,1KN16CS065,5.25,34,60,45,60,46,79,65,39
1KN,1KN16CS066,6.33,42,51,57,80,45,51,92,38
1KN,1KN16CS067,5.42,37,61,43,65,58,76,89,43
1KN,1KN16CS068,5.5,30,46,47,73,53,87,81,41
1KN,1KN16CS069,2.5,34,30,34,59,44,48,48,27
1KN,1KN16CS070,6.33,27,56,76,82,46,94,91,31
1KN,1KN16CS071,5.75,38,53,44,92,64,58,80,29
1KN,1KN16CS072,4.42,33,42,32,90,42,89,72,26
1KN,1KN16CS074,4.17,45,33,58,51,28,70,71,25
1KN,1KN16CS075,7.0,45,63,53,86,63,88,66,39
1KN,1KN16CS076,8.33,80,47,83,91,64,95,90,29
1KN,1KN16CS077,3.75,24,42,43,63,30,83,58,30
1KN,1KN16CS078,8.33,71,69,71,90,69,92,93,44
1KN,1KN16CS079,5.0,25,44,42,88,49,67,81,37
1ME,1ME16CS001,1.33,12,36,32,79,12,14,17,31
1ME,1ME16CS002,6.5,59,63,57,50,51,70,77,29
1ME,1ME16CS003,4.58,43,43,49,40,40,65,53,30
1ME,1ME16CS004,2.58,40,43,33,31,40,65,35,34
1ME,1ME16CS005,4.92,19,49,50,66,43,68,71,28
1ME,1ME16CS007,7.25,70,61,60,61,56,71,86,29
1ME,1ME16CS008,5.67,40,54,46,60,41,75,71,24
1ME,1ME16CS009,1.83,15,44,23,36,34,66,67,34
1ME,1ME16CS010,1.25,14,26,26,42,12,62,22,30
1ME,1ME16CS011,0.67,12,32,43,32,12,12,18,38
1ME,1ME16CS012,5.25,40,50,45,52,44,67,53,30
1ME,1ME16CS013,1.75,17,43,29,32,33,60,55,30
1ME,1ME16CS014,5.75,30,70,58,61,48,76,89,31
1ME,1ME16CS015,1.83,14,31,24,36,45,68,47,26
1ME,1ME16CS017,1.25,13,13,29,48,20,13,48,23
1ME,1ME16CS018,8.58,89,80,60,85,75,88,100,37
1ME,1ME16CS019,3.83,24,22,59,52,41,72,59,24
1ME,1ME16CS020,3.33,35,51,39,58,32,75,71,30
1ME,1ME16CS021,6.67,49,67,61,67,48,78,90,34
1ME,1ME16CS022,5.67,43,47,65,47,45,72,78,38
1ME,1ME16CS023,6.25,55,48,62,56,52,79,69,30
1ME,1ME16CS024,4.5,17,46,51,46,41,67,69,27
1ME,1ME16CS025,4.75,34,44,50,58,51,64,52,28
1ME,1ME16CS026,6.42,58,50,58,74,46,62,77,30
1ME,1ME16CS027,3.75,32,46,60,42,26,69,51,29
1ME,1ME16CS030,6.83,62,56,64,64,48,75,91,31
1ME,1ME16CS031,6.67,55,58,68,64,48,92,76,32
1ME,1ME16CS032,6.08,59,59,66,40,55,60,74,9
1ME,1ME16CS033,2.75,20,31,60,44,34,46,55,21
1ME,1ME16CS034,1.5,23,36,51,26,22,36,51,26
1ME,1ME16CS035,6.92,67,59,70,54,57,89,78,27
1ME,1ME16CS036,6.75,46,63,71,67,67,59,63,31
1ME,1ME16CS037,4.92,36,62,58,50,50,44,47,34
1ME,1ME16CS038,2.92,35,29,59,47,24,60,58,29
1ME,1ME16CS039,7.25,59,64,71,60,56,89,96,37
1ME,1ME16CS040,8.83,76,79,88,84,85,92,94,30
1ME,1ME16CS041,1.75,20,19,16,40,18,63,50,25
1ME,1ME16CS042,6.0,54,45,46,57,53,76,72,25
1ME,1ME16CS043,5.5,26,65,52,53,48,82,84,32
1ME,1ME16CS044,4.08,30,44,48,70,29,83,54,25
1ME,1ME16CS045,1.0,18,16,21,16,17,66,46,22
1ME,1ME16CS046,6.08,40,51,54,67,51,63,74,24
1ME,1ME16CS047,5.58,32,57,65,56,45,88,93,30
1ME,1ME16CS048,6.75,50,65,53,75,47,72,82,27
1ME,1ME16CS049,3.0,15,45,25,48,32,71,74,25
1ME,1ME16CS050,6.83,60,44,63,70,55,83,85,29
1ME,1ME16CS051,3.67,15,52,42,49,28,52,70,30
1ME,1ME16CS052,6.08,46,47,48,72,43,88,94,37
1ME,1ME16CS053,2.75,23,31,38,47,41,81,58,30
1ME,1ME16CS054,6.75,46,48,80,74,47,86,70,24
1ME,1ME16CS055,2.33,23,40,34,30,41,61,49,27
1ME,1ME16CS056,7.08,57,70,58,68,69,67,94,30
1ME,1ME16CS057,0.42,13,20,17,20,15,12,48,10
1ME,1ME16CS058,8.17,72,78,60,76,70,93,96,37
1ME,1ME16CS059,1.67,21,37,44,31,26,59,59,25
1ME,1ME16CS060,5.67,35,69,59,66,55,68,85,31
1ME,1ME16CS061,6.08,51,45,60,48,50,64,74,26
1ME,1ME16CS063,6.42,42,54,54,78,51,70,81,28
1ME,1ME16CS064,6.92,83,53,50,46,58,91,88,37
1ME,1ME16CS065,4.08,31,43,50,52,37,82,74,25
1ME,1ME16CS066,1.75,17,29,22,40,22,78,49,29
1ME,1ME16CS067,4.92,19,56,59,49,42,83,76,27
1ME,1ME16CS068,5.5,34,64,46,67,47,91,73,32
1ME,1ME16CS069,5.17,38,59,41,53,56,83,85,33
1ME,1ME16CS070,5.67,43,61,59,43,44,87,86,29
1ME,1ME16CS071,4.33,17,60,41,70,27,62,66,25
1ME,1ME16CS072,0.83,23,30,35,30,28,44,55,29
1ME,1ME16CS073,6.42,48,54,50,61,47,94,85,29
1ME,1ME16CS074,4.25,33,26,54,70,41,65,70,20
1ME,1ME16CS075,5.08,40,46,43,58,40,66,73,30
1ME,1ME16CS076,3.58,17,45,43,48,14,75,60,21
1ME,1ME16CS077,3.75,36,51,32,54,43,57,67,29
1ME,1ME16CS078,6.67,48,57,71,67,48,94,71,32
1ME,1ME16CS079,3.75,19,43,47,53,38,82,53,31
1ME,1ME16CS080,1.67,13,30,33,32,41,52,57,29
1ME,1ME16CS081,3.75,28,40,44,42,40,68,51,22
1ME,1ME16CS082,7.5,56,62,61,73,65,93,91,39
1ME,1ME16CS083,5.5,32,50,58,66,48,91,75,33
1ME,1ME16CS084,4.5,36,61,26,63,43,84,83,30
1ME,1ME16CS085,2.67,14,43,27,23,46,58,72,28
1ME,1ME16CS086,2.75,20,43,20,53,31,48,78,22
1ME,1ME16CS087,1.83,13,32,14,42,35,69,60,24
1ME,1ME16CS088,6.75,42,59,59,77,64,93,84,39
1ME,1ME16CS089,5.92,48,49,44,64,58,74,80,24
1ME,1ME16CS090,7.42,72,55,63,67,61,92,86,24
1ME,1ME16CS091,5.0,34,46,52,59,48,68,84,27
1ME,1ME16CS092,3.83,20,49,30,58,44,72,70,32
1ME,1ME16CS093,0.92,12,14,27,15,18,58,48,27
1ME,1ME16CS094,4.33,31,51,37,67,49,71,74,23
1ME,1ME16CS095,1.08,12,12,19,23,12,67,55,30
1ME,1ME16CS096,7.75,71,80,65,61,69,69,93,33
1ME,1ME16CS098,4.67,35,50,58,69,35,72,94,33
1ME,1ME16CS099,4.67,17,45,40,68,40,71,79,28
1ME,1ME16CS100,4.0,14,50,12,50,41,65,84,29
1ME,1ME16CS101,6.42,40,64,58,72,49,73,85,31
1ME,1ME16CS103,3.83,34,43,26,63,44,67,89,26
1ME,1ME16CS104,3.08,20,49,26,55,28,73,63,29
1MJ,1MJ16CS001,2.83,10,33,44,52,16,78,59,32
1MJ,1MJ16CS002,5.92,41,53,46,79,45,78,65,33
1MJ,1MJ16CS003,5.17,31,46,68,66,42,74,74,28
1MJ,1MJ16CS004,5.92,40,51,66,67,40,59,84,33
1MJ,1MJ16CS005,3.58,48,38,44,55,37,59,68,31
1MJ,1MJ16CS006,7.75,69,70,83,73,58,79,88,36
1MJ,1MJ16CS007,7.92,73,70,81,83,59,68,79,42
1MJ,1MJ16CS008,3.17,22,34,45,51,31,76,78,32
1MJ,1MJ16CS009,5.67,32,58,65,69,50,77,79,33
1MJ,1MJ16CS010,6.25,35,64,72,77,53,82,78,30
1MJ,1MJ16CS011,4.92,40,46,63,54,35,76,64,37
1MJ,1MJ16CS012,1.17,26,23,16,27,23,67,68,30
1MJ,1MJ16CS013,2.92,23,33,49,51,28,57,68,31
1MJ,1MJ16CS014,9.17,92,78,90,83,73,91,95,35
1MJ,1MJ16CS015,6.83,59,52,72,59,50,86,82,29
