CC,sgpa
1AK,6.83
1AK,6.5
1AK,4.92
1AK,1.42
1AK,1.83
1AK,6.75
1AK,5.25
1AK,1.83
1AK,3.25
1AK,6.75
1AK,4.75
1AK,3.58
1AK,4
1AK,4.58
1AK,5.33
1AK,3.33
1AK,3.42
1AK,6.42
1AK,5.33
1AK,2.25
1AK,2
1AK,4.92
1AK,3
1AK,3.33
1AK,3.42
1AK,4
1AK,8
1AK,5.25
1AK,4.25
1AK,3.17
1AK,2.75
1AM,5.17
1AM,7
1AM,2.42
1AM,2.75
1AM,6.42
1AM,6.25
1AM,6.75
1AM,7.33
1AM,0.83
1AM,7.08
1AM,2.25
1AM,6.92
1AM,8.92
1AM,6.67
1AM,8.5
1AM,2.25
1AM,7.33
1AM,8.5
1AM,8.92
1AM,6.5
1AM,7.92
1AM,3.08
1AM,2.83
1AM,7.33
1AM,7
1AM,6.25
1AM,3.08
1AM,8.83
1AM,2.42
1AM,0
1AM,3.92
1AM,6.75
1AM,5.83
1AM,8
1AM,7.5
1AM,7.67
1AM,7.83
1AM,6.08
1AM,3.08
1AM,0
1AM,6.75
1AM,1.67
1AM,6.33
1AM,6.58
1AM,9
1AM,1.75
1AM,5
1AM,4.92
1AM,7.75
1AM,7
1AM,5.33
1AM,7.58
1AM,5.25
1AM,3.67
1AM,1.83
1AM,7.08
1AM,3.08
1AM,5.75
1AM,6.25
1AM,7.25
1AM,1
1AM,6.75
1AM,4.17
1AM,7.5
1AM,8.25
1AM,5.58
1AM,6
1AM,4
1AM,3.92
1AM,3.25
1AM,5.5
1AM,3.92
1AM,7.5
1AM,5.83
1AM,6.75
1AM,4.75
1AM,2.83
1AM,8.17
1AM,4.08
1AM,6.92
1AM,9.17
1AM,8.17
1AM,5.42
1AM,4.33
1AM,3.67
1AM,4.42
1AM,3.67
1AM,4
1AM,7.25
1AM,7.25
1AM,1.58
1AM,8.25
1AM,5.83
1AM,7.75
1AM,6.17
1AM,5.17
1AM,6.67
1AM,6.33
1AM,7.75
1AM,3.33
1AM,8
1AM,2.17
1AM,6.75
1AM,0.83
1AM,1
1AM,8.42
1AM,5.17
1AM,3.42
1AM,0
1AM,7.42
1AM,8.17
1AM,8.75
1AM,7.92
1AM,1.75
1AM,3.67
1AM,0.58
1AM,1.25
1AM,5.92
1AM,4.17
1AM,6.5
1AM,5.42
1AM,2.33
1AM,6
1AM,7.25
1AM,7.08
1AM,5.58
1AM,6.25
1AM,6.08
1AM,8.33
1AM,8.08
1AM,0
1AM,2.92
1AM,7
1AM,7.58
1AM,8.17
1AM,7.92
1AM,3.83
1AM,3.42
1AM,6.08
1AM,6.33
1AM,7.25
1AM,5.75
1AM,6.92
1AM,5.33
1AM,7
1AM,6.92
1AM,3.92
1AM,7.42
1AM,2.17
1AM,5.67
1AM,4.33
1AM,4.25
1AM,6.08
1AM,4.33
1AM,6.5
1AM,4.67
1AM,3.75
1AM,2.25
1AM,6.67
1AM,7.17
1AM,6.25
1AM,8.58
1AM,7.17
1AM,6.75
1AM,7.33
1AM,7.83
1AM,3.75
1AM,7.08
1AM,8.33
1AM,6.17
1AM,4.75
1AM,6.25
1AM,8.08
1AM,7.67
1AM,1.25
1AM,6.08
1AM,5.08
1AM,5.5
1AM,5.67
1AM,6.75
1AM,6.67
1AM,5.58
1AM,7
1AM,8.33
1AM,2.92
1AM,3.92
1AM,7.33
1AM,2.92
1AM,8.5
1AM,6.92
1AM,4
1AM,2.75
1AM,8.17
1AM,1
1AM,1.83
1AM,6.17
1AM,2.67
1AM,6
1AM,6.92
1AM,3.67
1AM,7.33
1AM,7.75
1AM,8.17
1AM,4.92
1AM,4.75
1AO,2.08
1AO,3.42
1AP,6.33
1AP,7.25
1AP,7.75
1AP,6.67
1AP,7.42
1AP,7.08
1AP,5.67
1AP,2.92
1AP,8.25
1AP,4.33
1AP,3.58
1AP,7.33
1AP,2.92
1AP,6.92
1AP,7.25
1AP,6.42
1AP,7.33
1AP,6.17
1AP,6.17
1AP,3.75
1AP,9.08
1AP,6.83
1AP,6.33
1AP,6.83
1AP,7.83
1AP,7.58
1AP,8.17
1AP,6.5
1AP,4
1AP,5.83
1AP,8
1AP,8.17
1AP,5.92
1AP,3.92
1AP,7.25
1AP,6.83
1AP,7.5
1AP,3.92
1AP,7.58
1AP,7.58
1AP,7
1AP,0
1AP,7.83
1AP,6.08
1AP,6.92
1AP,8.58
1AP,1.92
1AR,5.42
1AR,1
1AR,5.92
1AR,4.42
1AR,6.67
1AR,4.75
1AR,1
1AR,4.42
1AR,3.92
1AR,5.92
1AR,4.5
1AR,4.75
1AR,6.5
1AR,7.33
1AR,3.17
1AT,8.25
1AT,4.75
1AT,3.75
1AT,7.25
1AT,5.83
1AT,6.42
1AT,5.58
1AT,7.83
1AT,6.42
1AT,8.67
1AT,7.75
1AT,1
1AT,5.83
1AT,3.83
1AT,6.5
1AT,6.67
1AT,6.92
1AT,5.75
1AT,8.42
1AT,6.75
1AT,7.08
1AT,8.67
1AT,8.58
1AT,8.67
1AT,5.17
1AT,7.92
1AT,6.33
1AT,7.33
1AT,2.58
1AT,5.58
1AT,5.67
1AT,2.75
1AT,3.83
1AT,7.58
1AT,1.83
1AT,6.42
1AT,9.08
1AT,8.42
1AT,5.75
1AT,7.25
1AT,6.25
1AT,8
1AT,6.67
1AT,7.67
1AT,8.33
1AT,7.58
1AT,5.08
1AT,8.5
1AT,8.25
1AT,5.67
1AT,8.83
1AT,7.33
1AT,6.58
1AT,3.67
1AT,6.17
1AT,7.08
1AT,8.67
1AT,4.75
1AT,7.25
1AT,6.08
1AT,6.5
1AT,4.42
1AT,7.25
1AT,6.42
1AT,3.33
1AT,8.17
1AT,7
1AT,7.17
1AT,3.08
1AT,7
1AT,2.5
1AT,6.83
1AT,6.75
1AT,8.17
1AT,2.92
1AT,6.83
1AT,6.42
1AT,2.83
1AT,5.17
1AT,7.67
1AT,7.92
1AT,6.83
1AT,7.58
1AT,4.83
1AT,8.33
1AT,7.67
1AT,7.25
1AT,8.92
1AT,8.33
1AT,6.67
1AT,4.42
1AT,7.33
1AT,8.25
1AT,7.5
1AT,9.25
1AT,3.42
1AT,6.33
1AT,3.25
1AT,8.25
1AT,3.92
1AT,2
1AT,5.58
1AT,4
1AT,8.5
1AT,5.75
1AT,8.67
1AT,9.25
1AT,2.83
1AT,8.42
1AT,3.92
1AT,7.67
1AT,8
1AT,8.33
1AT,8.67
1AT,9.25
1AT,7.08
1AT,6
1AT,8.5
1AT,7.08
1AT,7.33
1AT,5.75
1AT,4
1AT,3.33
1AT,4.67
1AU,1.75
1AU,2.33
1AU,5.17
1AU,6.83
1AU,4.75
1AU,8.25
1AU,3.08
1AU,6.83
1AU,7.08
1AU,7.75
1AU,3.17
1AU,6
1AU,6.92
1AU,4.75
1AU,5.42
1AU,4.75
1AU,8.17
1AU,6.67
1AU,7
1AU,2.33
1AU,2.58
1AU,3.58
1AU,4.83
1AU,2.33
1AU,4.58
1AU,6.17
1AU,6.42
1AU,4
1AU,8.67
1AU,5.83
1AU,5.58
1AU,4.75
1AU,2.92
1AU,4
1AU,2.08
1AU,4.42
1AU,3.75
1AU,5.33
1AU,7.67
1AU,3.5
1AU,7.58
1AU,7.75
1AU,5.58
1AU,6.58
1AU,3.67
1AU,2.08
1AU,1.08
1AY,7.58
1AY,8.17
1AY,3.17
1AY,5.33
1AY,4.75
1AY,8.33
1AY,9.08
1AY,6.08
1AY,7.25
1AY,8.25
1AY,8.5
1AY,9.08
1AY,8.75
1AY,8.08
1AY,7.83
1AY,9
1AY,5.92
1AY,9.08
1AY,7.75
1AY,8
1AY,8.75
1AY,4.92
1AY,8.42
1AY,3.25
1AY,7.92
1AY,6.5
1AY,2.58
1AY,5.92
1AY,6.58
1AY,5.33
1AY,7.83
1AY,7.25
1AY,8
1AY,5.17
1AY,8
1AY,6.67
1AY,7.58
1AY,6
1AY,5.92
1AY,5.08
1AY,8.83
1AY,8.5
1AY,7.92
1AY,3.42
1AY,7.42
1AY,1.75
1AY,6.58
1AY,8.17
1AY,6.92
1AY,8.5
1AY,7.25
1AY,4.08
1AY,3.83
1AY,8
1AY,1.42
1AY,7.83
1AY,2.42
1AY,0.58
1AY,8.08
1AY,2.83
1AY,8.42
1AY,3.75
1AY,0.67
1AY,3.83
1AY,6
1AY,7.33
1AY,6.58
1AY,5.42
1AY,0.75
1AY,6
1AY,3.33
1AY,7.5
1AY,4.92
1AY,8.25
1AY,4.83
1AY,6.17
1AY,7
1AY,6.67
1AY,6.17
1AY,8.33
1AY,8.92
1AY,7.17
1AY,7.75
1AY,8.5
1AY,7.25
1AY,7
1AY,0.67
1AY,2.75
1AY,7.17
1AY,7.25
1AY,4.92
1AY,8.67
1AY,6.25
1AY,6.42
1AY,3.92
1AY,9.08
1AY,7.83
1AY,3.08
1AY,7.42
1AY,8.42
1AY,7.42
1AY,8.17
1AY,7.67
1AY,9
1AY,7.83
1AY,7.92
1AY,6.33
1AY,2.83
1AY,5.08
1AY,3.08
1AY,7.75
1AY,5.83
1AY,7.92
1AY,4
1AY,2.92
1AY,5.08
1AY,6.08
1AY,8.42
1AY,5.33
1AY,3.17
1AY,8.5
1AY,7.08
1AY,6.58
1AY,7.75
1AY,2.5
1AY,4.92
1AY,8.42
1AY,6.75
1AY,1
1AY,2.92
1AY,5
1AY,2.83
1BC,1.42
1BC,4.67
1BC,2.17
1BC,1
1BC,4.58
1BC,2.17
1BC,3.58
1BC,3.42
1BC,1.17
1BC,2
1BC,4.83
1BC,1.08
1BC,5.08
1BG,9.08
1BG,8.17
1BG,6.83
1BG,7.92
1BG,8.42
1BG,8.25
1BG,8.75
1BG,9.08
1BG,7.25
1BG,9.08
1BG,6.83
1BG,8.08
1BG,8.5
1BG,2.08
1BG,9.58
1BG,7.92
1BG,7.42
1BG,8.75
1BG,5.5
1BG,8.75
1BG,8.75
1BG,8.25
1BG,8.08
1BG,8.25
1BG,8.92
1BG,8.25
1BG,8.92
1BG,8.67
1BG,8.58
1BG,5
1BG,8.08
1BG,7.08
1BG,8.75
1BG,7.58
1BG,7.92
1BG,8.33
1BG,8.58
1BG,9.5
1BG,8.25
1BG,6.33
1BG,7.25
1BG,9.25
1BG,8.42
1BG,8.17
1BG,8.5
1BG,5.25
1BG,2.33
1BG,9.17
1BG,8
1BG,8.67
1BG,9.33
1BG,8.08
1BG,2.33
1BG,9.25
1BG,7.75
1BG,7.92
1BG,9.58
1BG,8.58
1BG,7.58
1BG,8.92
1BG,6.5
1BG,7.58
1BG,8.75
1BG,8.67
1BG,9.58
1BG,9.58
1BG,8.83
1BG,5.92
1BG,9.25
1BG,9.42
1BG,8.08
1BG,5.33
1BG,8.67
1BG,5.92
1BG,9.25
1BG,4.75
1BG,7.5
1BG,9
1BG,9.42
1BG,7.08
1BG,8.5
1BG,8.58
1BG,4.92
1BG,7.25
1BG,7.25
1BG,8.08
1BG,9.5
1BG,8.58
1BG,6.92
1BG,8
1BG,7.5
1BG,7.25
1BG,6.92
1BG,7.58
1BG,7.08
1BG,8.58
1BG,9.42
1BG,8.17
1BG,8.83
1BG,7.83
1BG,9.17
1BG,4.58
1BG,8
1BG,8.5
1BG,9.08
1BG,8.25
1BG,8.42
1BG,9.25
1BG,9.42
1BG,4
1BG,9.58
1BG,3.92
1BG,7
1BG,8.75
1BG,8.42
1BG,8.25
1BG,8.83
1BG,6.75
1BG,7
1BG,6.08
1BG,7.75
1BG,5.67
1BG,9.5
1BH,7.83
1BH,8.08
1BH,6.33
1BH,2.5
1BH,7.08
1BH,7.08
1BH,7.5
1BH,8.17
1BH,6
1BH,1.67
1BH,6.42
1BH,5.58
1BH,6.17
1BH,6.58
1BH,5.25
1BH,7.42
1BH,4.25
1BH,7.83
1BH,7.08
1BH,6
1BH,8
1BH,6.58
1BH,0.92
1BH,0.42
1BH,4.67
1BH,2.92
1BH,7.33
1BH,1.5
1BH,6.58
1BH,6.75
1BH,6.08
1BH,7.75
1BH,8
1BH,4
1BH,5.25
1BH,6.92
1BH,6.33
1BH,7.67
1BH,7.67
1BH,5.33
1BH,4
1BH,7.5
1BH,8.67
1BH,6.83
1BH,5.67
1BH,8
1BH,6.5
1BH,3.08
1BH,5.67
1BH,4.75
1BH,1.75
1BH,7.83
1BH,2.42
1BH,8.58
1BH,7.33
1BH,3.33
1BH,4.25
1BH,7
1BH,6.92
1BH,4.08
1BH,7.17
1BH,8.08
1BH,7.92
1BH,9.17
1BH,5.33
1BH,3.33
1BH,6.58
1BH,0
1BH,4.75
1BH,8.75
1BH,2.75
1BH,4.83
1BI,4.83
1BI,9
1BI,7.75
1BI,8.67
1BI,6.25
1BI,9.67
1BI,9
1BI,9.67
1BI,8.67
1BI,8
1BI,7.33
1BI,9.08
1BI,5.42
1BI,7.67
1BI,8.25
1BI,7.5
1BI,5.42
1BI,8.67
1BI,8.67
1BI,4.17
1BI,9.33
1BI,6.67
1BI,9.5
1BI,6.92
1BI,9.33
1BI,2.33
1BI,9
1BI,8.33
1BI,2.92
1BI,8.67
1BI,8
1BI,8.08
1BI,9.17
1BI,6.92
1BI,7
1BI,0
1BI,5.58
1BI,5
1BI,7.75
1BI,7.58
1BI,3.5
1BI,8.25
1BI,8.33
1BI,9.33
1BI,8.67
1BI,8.33
1BI,7.08
1BI,8.08
1BI,7.67
1BI,8.08
1BI,6.17
1BI,7.58
1BI,3.33
1BI,7.75
1BI,8.33
1BI,6.25
1BI,9.17
1BI,8.67
1BI,7.58
1BI,7.42
1BI,9.08
1BI,6.75
1BI,6.92
1BI,8.08
1BI,6.58
1BI,9
1BI,7.33
1BI,3.25
1BI,8.92
1BI,7.92
1BI,5.33
1BI,4
1BI,7.92
1BI,7.67
1BI,1.33
1BI,6.75
1BI,8.67
1BI,8
1BI,2.5
1BI,7.83
1BI,6.42
1BI,7.83
1BI,7.83
1BI,8.75
1BI,3.92
1BI,8.08
1BI,8.92
1BI,3.83
1BI,7.75
1BI,8.25
1BI,9
1BI,8.67
1BI,8.08
1BI,7
1BI,7.83
1BI,7.08
1BI,8.58
1BI,6.92
1BI,2.92
1BI,2.5
1BI,9.5
1BI,8.67
1BI,8.67
1BI,1.42
1BI,7.83
1BI,5.67
1BI,7.92
1BI,7.75
1BI,3.92
1BI,9.08
1BI,8.92
1BI,8.25
1BI,7.25
1BI,8.5
1BI,8.42
1BI,9.17
1BI,3.83
1BI,8.42
1BI,7.67
1BI,8
1BI,7.42
1BI,8.92
1BI,8.75
1BI,9
1BI,5.58
1BI,6.5
1BI,8
1BI,7.75
1BI,5.17
1BI,9
1BI,8
1BI,7.25
1BI,8.42
1BI,3.42
1BI,8.83
1BI,9.58
1BI,4.17
1BI,5.5
1BI,9.67
1BI,4.17
1BI,4.83
1BI,8.92
1BI,9
1BI,7.08
1BI,9
1BI,8.67
1BI,8.5
1BI,7.25
1BI,8.33
1BI,9.5
1BI,7.58
1BI,2.17
1BI,5.58
1BI,6.42
1BI,6.25
1BI,2.33
1BI,6.5
1BI,4.67
1BI,8.42
1BI,9.33
1BI,8.67
1BI,8.08
1BI,8.75
1BI,8.33
1BI,8.75
1BI,2.08
1BI,7.58
1BI,7.5
1BI,7.58
1BI,3.67
1BI,8.5
1BI,9
1BI,8.5
1BI,8.67
1BI,8.75
1BI,8.5
1BI,9.33
1BI,0.75
1BI,8
1BI,5.58
1BI,7.17
1BI,4.5
1BI,1.5
1BI,6.5
1BI,7.08
1BI,2.5
1BI,8.92
1BO,7.92
1BO,4.42
1BO,2.92
1BO,6.92
1BO,6.83
1BO,6.17
1BO,6.42
1BO,3
1BO,4.67
1BO,1.08
1BO,5.5
1BO,1.42
1BO,5.17
1BO,3.5
1BO,3.58
1BO,0
1BO,1.33
1BO,3.08
1BO,2.17
1BO,7.75
1BO,0.58
1BO,4.67
1BO,7.33
1BO,5.25
1BO,7.92
1BO,3.5
1BO,6.42
1BO,4.67
1BO,4.83
1BO,0
1BO,8.58
1BO,4.08
1BO,3.58
1BO,3.5
1BO,3.83
1BO,1.83
1BO,6.83
1BO,2.33
1BO,5.33
1BO,7.17
1BO,6.33
1BO,6.75
1BO,2.25
1BO,8.5
1BO,2.25
1BO,2.25
1BO,5.5
1BO,6.17
1BO,7.58
1BO,4.17
1BO,3.42
1BO,3.58
1BO,7
1BO,4.33
1BO,6.17
1BO,4.17
1BO,3.17
1BO,0
1BO,6.08
1BO,6.33
1BO,5.08
1BO,0
1BO,5.25
1BO,4.58
1BO,7.5
1BO,6.33
1BO,7.58
1BO,0
1BO,3.33
1BO,2.5
1BO,1.67
1BO,1.5
1BO,3.58
1BO,4.5
1BO,3.5
1BO,0
1BO,3
1BO,1.08
1BO,1
1BO,7.5
1BO,6.58
1BO,1.75
1BO,3.83
1BO,7.58
1BO,6.25
1BO,7.17
1BO,3.25
1BO,5.5
1BO,1
1BO,4.92
1BO,6.33
1BO,5.5
1BO,3.92
1BO,0.33
1BO,1.25
1BO,3.17
1BO,3.08
1BO,4.92
1BO,6.75
1BO,4
1BO,6.42
1BO,7.75
1BO,6.83
1BO,5.83
1BO,6.75
1BO,7.17
1BO,6.67
1BO,3.67
1BO,7.83
1BO,4.67
1BO,5
1BO,3.5
1BO,6.33
1BO,1
1BO,0
1BO,0
1BT,8.17
1BT,5.25
1BT,8.33
1BT,4.5
1BT,4.25
1BT,4.67
1BT,3.75
1BT,9.17
1BT,3.92
1BT,4.58
1BT,8.17
1BT,8.67
1BT,6.08
1BT,0.42
1BT,5
1BT,4.33
1BT,2.17
1BT,2.67
1BT,3.42
1BT,8.17
1BT,6.92
1BT,6.17
1BT,1.83
1BT,3.75
1BT,7.92
1BT,7.08
1BT,6.33
1BT,6
1BT,7.83
1BT,8.33
1BT,6.83
1BT,6.5
1BT,3.5
1BT,7.25
1BT,7.92
1BT,5.67
1BT,8.08
1BT,7.08
1BT,5.42
1BT,6.58
1BT,7.33
1BT,6.42
1BT,2.42
1BT,2.58
1BT,7.25
1BT,5.75
1BT,8.08
1BT,7.33
1BT,5.5
1BT,3.33
1BT,2.17
1BT,6.67
1BT,3.5
1BT,6.58
1BT,8
1BT,2.5
1BT,5.67
1BT,6.5
1BT,5.33
1BT,8
1BY,9.08
1BY,8.25
1BY,5.5
1BY,5.5
1BY,7.75
1BY,6.58
1BY,7.92
1BY,8.75
1BY,9.67
1BY,8.25
1BY,7.33
1BY,7.92
1BY,5.33
1BY,7.67
1BY,7.67
1BY,6.5
1BY,5.75
1BY,8.08
1BY,4.75
1BY,7.33
1BY,7.67
1BY,4.67
1BY,9.08
1BY,7
1BY,8.5
1BY,5.08
1BY,8.25
1BY,7.33
1BY,7.92
1BY,7.83
1BY,9.5
1BY,8.92
1BY,8.83
1BY,3.92
1BY,2.92
1BY,2.58
1BY,8.92
1BY,7.67
1BY,6.5
1BY,3.92
1BY,8.83
1BY,3.08
1BY,9.25
1BY,2.67
1BY,7.58
1BY,7.17
1BY,8.42
1BY,5.17
1BY,7.83
1BY,8.67
1BY,7.92
1BY,4.67
1BY,9.67
1BY,7.67
1BY,7.42
1BY,7.67
1BY,7.5
1BY,9.83
1BY,7.58
1BY,7.25
1BY,3.67
1BY,6.17
1BY,8
1BY,7.58
1BY,6.42
1BY,9.17
1BY,8.33
1BY,4.83
1BY,4.58
1BY,8
1BY,6.58
1BY,3.17
1BY,8
1BY,8.42
1BY,7.92
1BY,8.17
1BY,4.75
1BY,8.83
1BY,9.25
1BY,5.83
1BY,8.17
1BY,8
1BY,8.92
1BY,7.42
1BY,8.17
1BY,9.33
1BY,1.25
1BY,8
1BY,5.5
1BY,5.67
1BY,7.92
1BY,9
1BY,6.33
1BY,8.33
1BY,1.33
1BY,8
1BY,5.5
1BY,6.92
1BY,4.83
1BY,1.92
1BY,6.08
1BY,4.58
1BY,7.75
1BY,3.25
1BY,6.5
1BY,5.75
1BY,5.33
1BY,8.5
1BY,0
1CC,7.67
1CC,2.08
1CC,6.83
1CC,8.33
1CC,6.33
1CC,3.25
1CC,3.5
1CC,5.67
1CC,3.25
1CC,3.25
1CC,2.08
1CC,7.75
1CC,3.42
1CC,1.33
1CC,7.42
1CC,3.17
1CC,2.58
1CC,3.42
1CC,3.5
1CC,6.75
1CC,5.58
1CC,2.58
1CC,2.58
1CC,7.58
1CC,3.25
1CC,3.58
1CC,8.08
1CC,7.17
1CC,6.42
1CC,3.92
1CC,6.83
1CC,7.5
1CC,2.25
1CC,3.08
1CC,7.5
1CC,2.33
1CC,7.08
1CD,7.5
1CD,8.08
1CD,5.92
1CD,5.67
1CD,4.92
1CD,8.42
1CD,3.33
1CD,3.83
1CD,5.58
1CD,6.08
1CD,7.75
1CD,7.33
1CD,6.75
1CD,7.42
1CD,6.08
1CD,7.25
1CD,8.58
1CD,4.75
1CD,7.92
1CD,9.25
1CD,3.33
1CD,6.67
1CD,6.75
1CD,1.75
1CD,8.33
1CD,3.25
1CD,3.33
1CD,8.33
1CD,5
1CD,5.83
1CD,7.75
1CD,6.08
1CD,5.67
1CD,6.83
1CD,6.58
1CD,5.17
1CD,1.08
1CD,4.08
1CD,9.17
1CD,7.25
1CD,8.25
1CD,6.92
1CD,8.17
1CD,0.67
1CD,5.58
1CD,8.17
1CD,8.33
1CD,7.42
1CD,8
1CD,8.67
1CD,7
1CD,4.17
1CD,8.25
1CD,1.25
1CD,2
1CD,7.92
1CD,5.83
1CD,3
1CD,2.75
1CD,5.67
1CD,2.83
1CD,2
1CD,5.58
1CD,2.25
1CD,8.58
1CD,5.17
1CD,7.58
1CD,1.42
1CD,8.67
1CD,4.33
1CD,8.17
1CD,7.5
1CD,5.33
1CD,7.58
1CD,3.5
1CD,2.25
1CD,7.58
1CD,4.5
1CD,6.58
1CD,4.08
1CD,7
1CD,5.17
1CD,4.25
1CD,8.33
1CD,2.25
1CD,7.33
1CD,7.67
1CD,7.67
1CD,6.58
1CD,5.67
1CD,6.5
1CD,5.75
1CD,7.33
1CD,2.83
1CD,6.75
1CD,4.58
1CD,6.5
1CD,5.83
1CD,8.58
1CD,1
1CD,2.58
1CD,2
1CD,7
1CD,4.25
1CD,8.58
1CD,1.08
1CD,7.92
1CD,7.58
1CD,7.75
1CD,4.42
1CD,4.25
1CD,3
1CD,5.42
1CD,7.33
1CD,5.33
1CD,0
1CD,8.17
1CD,2.92
1CD,8.58
1CD,3.67
1CD,6.42
1CD,7.83
1CD,8.17
1CD,3.67
1CD,1.83
1CD,8.42
1CD,8.17
1CD,7.92
1CD,8.25
1CD,6.67
1CD,2.5
1CD,8.42
1CD,1.67
1CD,9.25
1CD,6.17
1CD,7.42
1CD,9.17
1CD,8.33
1CD,8.83
1CD,7.83
1CD,6.25
1CD,3.33
1CD,4.25
1CD,6.67
1CD,4.17
1CD,8.5
1CD,3.75
1CD,3.25
1CD,7.33
1CD,0
1CD,6.5
1CD,3.58
1CD,7.92
1CD,6.08
1CD,4.08
1CD,7.67
1CD,6.33
1CD,3.58
1CD,8.67
1CD,8.25
1CD,7.25
1CD,6.92
1CD,7.92
1CD,8.08
1CD,8.08
1CD,1
1CD,8.83
1CD,6.08
1CD,7.5
1CD,7.17
1CD,7.83
1CD,7.17
1CD,1.5
1CD,8.58
1CD,3.67
1CD,9.42
1CD,8.25
1CD,8
1CD,5.67
1CD,4.92
1CD,8.33
1CD,8.17
1CD,3
1CD,6.75
1CD,5.33
1CD,7.08
1CD,8
1CE,4.25
1CE,7.08
1CE,3.67
1CE,9.17
1CE,7.5
1CE,6.75
1CE,9.08
1CE,7.83
1CE,7
1CE,8.08
1CE,7.92
1CE,5.33
1CE,6.92
1CE,5.25
1CE,0
1CE,4.17
1CE,7.08
1CE,7.5
1CE,8
1CE,5.75
1CE,1.08
1CE,7.75
1CE,7.08
1CE,4.17
1CE,3.58
1CE,4.42
1CE,7.08
1CE,6.75
1CE,1.75
1CE,7.33
1CE,5.17
1CE,5.92
1CE,6.75
1CE,7.08
1CE,5.42
1CE,7.25
1CE,6.33
1CE,2.25
1CE,6
1CE,2.58
1CE,6.08
1CE,7.5
1CE,3.33
1CE,7.75
1CE,6.92
1CE,8
1CE,7.42
1CE,6.08
1CE,3.08
1CE,6.17
1CE,4
1CE,4
1CE,7.92
1CE,9
1CE,6.08
1CE,1.83
1CE,8.25
1CE,5
1CE,9.5
1CE,8.5
1CE,7.83
1CE,6.75
1CE,2
1CE,5
1CE,6.08
1CE,7.42
1CE,8.58
1CE,5
1CE,7.75
1CE,4.67
1CE,6.83
1CE,2.92
1CE,5.92
1CE,4
1CE,7.83
1CE,5.58
1CE,2
1CE,6.33
1CE,3.67
1CE,4.92
1CE,6.33
1CE,8.08
1CE,2.83
