CC,sgpa
1AC,6.33
1AC,6.67
1AC,2.08
1AC,4.92
1AC,6.67
1AC,2.33
1AC,5.92
1AC,2.17
1AC,4.58
1AC,3.33
1AC,2.33
1AC,6.5
1AC,6.5
1AC,1.17
1AC,6.25
1AC,4.5
1AC,5.92
1AC,1.33
1AC,1.92
1AC,2.58
1AC,5
1AC,6.33
1AC,5.67
1AC,3.08
1AC,5.75
1AC,5.67
1AC,2.92
1AC,3.17
1AC,6.17
1AC,1.08
1AC,3
1AC,7.08
1AC,2.08
1AC,1.83
1AC,3.25
1AC,2.5
1AC,2.92
1AC,1.25
1AC,2
1AC,2.42
1AC,3
1AC,2.33
1AC,2.25
1AC,3.92
1AC,5.75
1AC,3.75
1AC,2.08
1AC,2.33
1AC,1.83
1AC,1.25
1AC,5.33
1AC,2.5
1AC,3
1AC,6.92
1AC,7
1AC,2.5
1AC,2.42
1AC,1.92
1AC,5.42
1AC,7.33
1AC,2.25
1AC,4.58
1AC,6.5
1AC,1.83
1AC,3.42
1AC,6.58
1AC,2.25
1AC,2.83
1AC,1.75
1AC,1.75
1AC,0.58
1AC,1
1AC,0.58
1AC,6.58
1AC,1.83
1AC,6.58
1AC,5.33
1AC,2.5
1AC,5.5
1AC,2.08
1AC,6.92
1AH,2.08
1AH,2.83
1AH,5.42
1AH,1.42
1AH,1.17
1AH,6.17
1AH,6.08
1AH,1.08
1AH,7
1AH,6.25
1AH,7.92
1AH,6.08
1AH,3.75
1AH,6.5
1AH,2.58
1AH,5.67
1AH,6.83
1AH,3.08
1AH,4.58
1AH,6.58
1AH,7.75
1AH,6.17
1AH,0
1AH,6.58
1AH,7.83
1AH,3.67
1AH,7.5
1AH,6.42
1AH,5.92
1AH,7.83
1AH,5.17
1AH,2
1AH,7.58
1AH,8.17
1AH,5.83
1AH,6.83
1AH,5.5
1AH,2.17
1AH,5.08
1AH,7.42
1AH,6.58
1AH,7.83
1AH,2.75
1AH,2
1AH,4.25
1AH,5.92
1AH,5.92
1AH,6.33
1AH,7.25
1AH,7
1AH,1.83
1AH,5.33
1AH,5.92
1AH,5.83
1AH,7.17
1AH,3.42
1AH,0
1AH,5.75
1AJ,3
1AJ,1.08
1AJ,1.33
1AJ,4.58
1AJ,2.92
1AJ,3.75
1AJ,8.83
1AJ,5.58
1AJ,2.25
1AJ,0.67
1AJ,7.67
1AJ,2.08
1AJ,6.17
1AJ,6.83
1AJ,4.5
1AJ,3.33
1AJ,6.42
1AJ,1.25
1AJ,8.33
1AJ,4.17
1AJ,4.5
1AJ,2.5
1AJ,1.33
1AJ,1.17
1AJ,3.33
1AJ,4.58
1AJ,5.67
1AJ,1.33
1AJ,2
1AJ,0
1AJ,1.17
1AJ,1.5
1AJ,1.25
1AJ,2.08
1AJ,4
1AJ,1.25
1AJ,5.67
1AJ,1.42
1AJ,3.08
1AJ,2.42
1AJ,2.17
1AJ,3.08
1AJ,1.33
1AJ,6.92
1AJ,7.42
1AJ,3
1AJ,1.25
1AK,6.08
1AK,1.25
1AK,3.25
1AK,3.92
1AK,5.25
1AK,6.75
1AK,5.42
1AK,4.08
1AK,6.08
1AK,1.42
1AK,3.33
