CC,sgpa
1CR,8.67
1CR,8.5
1CR,7.83
1CR,8.33
1CR,4.42
1CR,8.67
1CR,9.08
1CR,8.17
1CR,7.33
1CR,8.67
1CR,8.33
1CR,8.25
1CR,8.42
1CR,6.92
1CR,9.17
1CR,6.75
1CR,6.75
1CR,9.5
1CR,8.58
1CR,2.08
1CR,8.83
1CR,7.25
1CR,9.08
1CR,2.5
1CR,5.25
1CR,8
1CR,8.42
1CR,9.33
1CR,7.67
1CR,8.5
1CR,8.25
1CR,6.5
1CR,8.5
1CR,7.58
1CR,2.17
1CR,8.17
1CR,9.33
1CR,8.83
1CR,8.33
1CR,9.33
1CR,8.33
1CR,7.5
1CR,7.75
1CR,6.83
1CR,4.17
1CR,8
1CR,6.83
1CR,8.75
1CR,8.25
1CR,9
1CR,8.33
1CR,8
1CR,2.67
1CR,7.33
1CR,6.58
1CR,3.25
1DB,2
1DB,1.33
1DB,4.17
1DB,7.25
1DB,4.83
1DB,3.83
1DB,7.58
1DB,8
1DB,6.5
1DB,5.33
1DB,7.75
1DB,8.33
1DB,1.83
1DB,2.58
1DB,2.42
1DB,4.25
1DB,2.33
1DB,7.58
1DB,4.5
1DB,4.08
1DB,3
1DB,3.08
1DB,5.33
1DB,7.75
1DB,8.08
1DB,1.08
1DB,3.58
1DB,3.75
1DB,7.42
1DB,7.33
1DB,6.83
1DB,8
1DB,4.67
1DB,7.75
1DB,8.75
1DB,6.42
1DB,6.92
1DB,3.67
1DB,6.33
1DB,1.33
1DB,6.5
1DB,7.5
1DB,7.42
1DB,7.08
1DB,6.83
1DB,7.17
1DB,6.08
1DB,6.25
1DB,7.17
1DB,7
1DB,1
1DB,7.08
1DB,8.5
1DB,6.92
1DB,5.5
1DB,6.5
1DB,5.92
1DB,9.42
1DB,4.92
1DB,2.58
1DB,7.42
1DB,8.08
1DB,4.33
1DB,7.25
1DB,6.33
1DB,5
1DB,5.75
1DB,1.25
1DB,6.75
1DB,5.83
1DB,7.42
1DB,1
1DB,7.33
1DB,4.5
1DB,5.25
1DB,3.5
1DB,5.92
1DB,7.08
1DB,6.67
1DB,6.83
1DB,7.42
1DB,1.92
1DB,6.33
1DB,8.5
1DB,7.83
1DB,3.33
1DB,7.42
1DB,5.08
1DB,1.83
1DB,3.5
1DB,6.67
1DB,8.17
1DB,7.75
1DB,2.67
1DB,6.42
1DB,5.75
1DB,3.83
1DB,6
1DB,2.42
1DB,4.83
1DB,6.33
1DB,7.17
1DB,1.92
1DB,8.17
1DB,7.83
1DB,7.92
1DB,6.08
1DB,7
1DB,6.08
1DB,4.08
1DB,5.42
1DB,3.08
1DB,1.25
1DB,6.58
1DB,7.5
1DB,6.83
1DB,7.17
1DB,6.75
1DB,6.42
1DB,2.75
1DB,7.75
1DB,5.67
1DB,4.33
1DB,7.08
1DB,6.58
1DB,8.67
1DB,7.83
1DB,2.42
1DB,4.08
1DB,8.08
1DB,8
1DB,6.58
1DB,7.5
1DB,8
1DB,8.92
1DB,6.67
1DB,7.75
1DB,7.83
1DB,7
1DB,4.58
1DB,6.42
1DB,7.67
1DB,6.17
1DB,4.42
1DB,7.08
1DB,7.33
1DB,8.25
1DB,5.92
1DB,7
1DB,3
1DB,5.42
1DB,7.67
1DB,7.58
1DB,7.5
1DB,6.83
1DB,7.17
1DB,7.17
1DB,7.08
1DB,6.83
1DB,6.5
1DB,7.92
1DB,8.83
1DB,3.58
1DB,7.67
1DB,5.42
1DB,6.83
1DB,4.83
1DB,1.33
1DB,4.42
1DB,7
1DB,8.92
1DT,6.75
1DT,7.33
1DT,8.42
1DT,8.25
1DT,8.17
1DT,8.25
1DT,6.75
1DT,9.25
1DT,8.25
1DT,8
1DT,7.42
1DT,7.92
1DT,7.08
1DT,0.75
1DT,7.58
1DT,7.42
1DT,7.25
1DT,8.25
1DT,3
1DT,8.25
1DT,8.92
1DT,7.75
1DT,7.83
1DT,2.67
1DT,7.83
1DT,6.25
1DT,4.92
1DT,5.58
1DT,2.92
1DT,6.33
1DT,9
1DT,8.25
1DT,2.17
1DT,5.17
1DT,8.08
1DT,7.17
1DT,7.25
1DT,7.17
1DT,8.5
1DT,8.08
1DT,7
1DT,8.58
1DT,7.17
1DT,8.58
1DT,8
1DT,7.5
1DT,7.25
1DT,3.25
1DT,5.58
1DT,8.83
1DT,7.83
1DT,8.83
1DT,7.5
1DT,8.33
1DT,5.83
1DT,6
1DT,8.5
1DT,4.42
1DT,1
1DT,8
1DT,3.08
1DT,7.92
1DT,6.08
1DT,8.83
1DT,4
1DT,2.25
1DT,1
1DT,7.67
1DT,8.75
1DT,5.08
1DT,5.33
1DT,8.33
1DT,6.83
1DT,8.5
1DT,9.58
1DT,8.75
1DT,8
1DT,9.25
1DT,9.5
1DT,5.5
1DT,8.08
1DT,8.92
1DT,4
1DT,4.42
1DT,6.25
1DT,8.5
1DT,8.25
1DT,7.5
1DT,8.08
1DT,5.17
1DT,8
1DT,6.33
1DT,2.25
1DT,9.17
1DT,8.58
1DT,7.25
1DT,5.67
1DT,6.33
1DT,6.92
1DT,6.08
1DT,7.25
1DT,5.75
1DT,7.42
1DT,8.5
1DT,6.33
1DT,8.67
1DT,7
1DT,5.25
1DT,9.33
1DT,8.33
1DT,1.25
1DT,5.42
1DT,7.42
1DT,7.42
1DT,7.67
1DT,2.5
1DT,9.17
1DT,5.08
1DT,8.83
1DT,8.42
1EP,6.58
1EP,8.08
1EP,8.75
1EP,7.25
1EP,6.17
1EP,5.5
1EP,3.17
1EP,6.33
1EP,6.92
1EP,7.92
1EP,7.33
1EP,5
1EP,6.75
1EP,4.08
1EP,0.5
1EP,7.83
1EP,7.25
1EP,4.42
1EP,3.25
1EP,1.25
1EP,3.5
1EP,6.17
1EP,6.83
1EP,6.67
1EP,6.42
1EP,2.25
1EP,3
1EP,9
1EP,6.67
1EP,8.08
1EP,3.67
1EP,8.17
1EP,6.08
1EP,8
1EP,8
1EP,2.58
1EP,5.17
1EP,7.42
1EP,8.67
1EP,5.25
1EP,6.83
1EP,6.83
1EP,8.83
1EP,7.83
1EP,7
1EP,7.92
1EP,5.92
1EP,7
1EP,7.42
1EP,6.83
1EP,7.25
1EP,7.83
1EP,4.67
1EP,9.17
1EP,8.67
1EP,3.58
1EP,8.83
1EP,6.67
1EP,7.42
1EP,6.42
1EP,2.75
1EP,1.5
1EP,6.83
1EP,8.17
1EP,6.83
1EP,4
1EP,6.5
1EP,7.83
1EP,6.08
1EP,5.25
1EP,9
1EP,5.42
1EP,4.92
1EP,1.33
1EP,8.08
1EP,5.42
1EP,9.25
1EP,7.83
1EP,7.33
1EP,7.58
1EP,7.75
1EP,4.08
1EP,4.58
1EP,8.33
1EP,5.83
1EP,4.25
1EP,1.08
1EP,5.33
1EP,7.25
1EP,9.58
1EP,5.08
1EP,5.5
1EP,7
1EP,7.42
1EP,9
1EP,7.92
1EP,7
1EP,9
1EP,4.58
1EP,2.92
1EP,8.67
1EP,3.67
1EP,1.42
1EP,7.17
1EP,7.5
1EP,8
1EP,6.75
1EP,4.17
1EW,6.08
1EW,1.92
1EW,2
1EW,6.25
1EW,4.08
1EW,4.58
1EW,5.5
1EW,5
1EW,7.83
1EW,8
1EW,6.83
1EW,6.25
1EW,6.08
1EW,2.42
1EW,3.17
1EW,8.67
1EW,7.17
1EW,8.42
1EW,6
1EW,2.08
1EW,3.58
1EW,4.17
1EW,8.17
1EW,7.83
1EW,4.83
1EW,1.92
1EW,6.5
1EW,7.17
1EW,4
1EW,8.42
1EW,6
1EW,6.25
1EW,2.25
1EW,7.58
1EW,7.5
1EW,6.08
1EW,7.33
1EW,5.5
1EW,7.25
1EW,8.75
1EW,4.5
1EW,6.58
1EW,1.83
1EW,6.17
1EW,4.58
1EW,4.5
1EW,8.42
1EW,8.17
1EW,2.92
1EW,7.58
1EW,7.58
1EW,3.58
1EW,7
1EW,8
1EW,8.58
1EW,7.58
1EW,8
1EW,6.08
1EW,5.08
1EW,0.83
1EW,8.42
1EW,5.58
1EW,1
1EW,8.33
1EW,6.83
1EW,1.25
1EW,0.5
1EW,6.33
1EW,7.33
1EW,2.42
1EW,7.25
1EW,7.92
1EW,8.75
1EW,4.83
1EW,5.5
1EW,7.58
1EW,4.42
1EW,1.5
1EW,7.17
1EW,6.92
1EW,4.67
1EW,6.92
1EW,3.92
1EW,8.75
1EW,7.08
1EW,7.67
1EW,9.08
1EW,3.92
1EW,1.17
1EW,7.08
1EW,3.83
1EW,8.17
1EW,5.17
1EW,6.08
1EW,4.83
1EW,7.58
1EW,8.33
1EW,6.5
1EW,3.5
1EW,8.58
1EW,2.5
1EW,5.17
1EW,6.67
1EW,7.17
1EW,9.33
1EW,7.17
1EW,9.33
1EW,4
1EW,5.83
1EW,7.42
1EW,4.33
1EW,7.25
1EW,6.75
1EW,6.58
1EW,6.58
1EW,7.58
1EW,8.08
1EW,4.67
1EW,8.92
1EW,7.25
1EW,0.5
1EW,5.67
1EW,6.17
1EW,4.25
1EW,8.92
1EW,6.33
1EW,6.17
1EW,7.83
1EW,3.75
1EW,4.42
1EW,0.67
1EW,8.25
1EW,8.75
1EW,5
1EW,8.83
1EW,5.92
1EW,4
1EW,9.08
1EW,8.5
1EW,8
1EW,7
1EW,3.25
1EW,7.17
1EW,0.58
1EW,9
1EW,8.17
1EW,7.08
1EW,2.67
1EW,7.17
1EW,8.17
1EW,3.17
1EW,5.67
1EW,8.33
1EW,8.25
1EW,5.42
1EW,8.42
1EW,8.83
1EW,3.42
1EW,8.33
1EW,7.83
1EW,6
1EW,6.5
1EW,8
1EW,8.83
1EW,7.92
1EW,4
1EW,9.33
1EW,5.5
1EW,1.58
1EW,4.5
1GA,7.83
1GA,7.67
1GA,8.83
1GA,3.75
1GA,8.25
1GA,8
1GA,7
1GA,4.08
1GA,6.33
1GA,5.33
1GA,8.42
1GA,4.08
1GA,6.83
1GA,9
1GA,4.42
1GA,7.75
1GA,4.75
1GA,8.67
1GA,9
1GA,9.83
1GA,8
1GA,7.67
1GA,8.42
1GA,6.5
1GA,8.5
1GA,9.17
1GA,8
1GA,7.83
1GA,8.58
1GA,6.58
1GA,9
1GA,6.58
1GA,6.33
1GA,1.33
1GA,7.92
1GA,8.17
1GA,9.17
1GA,9.08
1GA,7.92
1GA,7.17
1GA,6.75
1GA,4.25
1GA,7.25
1GA,7.67
1GA,8.67
1GA,3.75
1GA,7.75
1GA,5.5
1GA,5.83
1GA,4.75
1GA,8.25
1GA,8.33
1GA,7.92
1GA,2.42
1GA,5.83
1GA,8.33
1GA,9.5
1GA,5.67
1GA,6.83
1GA,8.67
1GA,7.5
1GA,2.42
1GA,6.33
1GA,8.83
1GA,7.75
1GA,5.5
1GA,7.5
1GA,8.67
1GA,7.42
1GA,8.25
1GA,5.75
1GA,4.33
1GA,7.08
1GA,4.67
1GA,5.17
1GA,7.58
1GA,3.92
1GA,7.08
1GA,3.58
1GA,7.42
1GA,6.33
1GA,7.33
1GA,8.75
1GA,7.5
1GA,9.17
1GA,8.67
1GA,8.42
1GA,8.5
1GA,1.25
1GA,6.33
1GA,8.25
1GA,7.83
1GA,4.5
1GA,6.08
1GA,8.17
1GA,6.08
1GA,7.83
1GA,7.58
1GA,7.08
1GA,7.08
1GA,3.08
1GA,8.17
1GA,9.17
1GA,6.25
1GA,1.58
1GA,7.92
1GA,8.5
1GA,7.92
1GA,7.5
1GA,8.83
1GA,7.92
1GA,6.42
1GA,8.33
1GA,5.33
1GA,8.92
1GA,9.25
1GA,7.33
1GA,9
1GA,8.67
1GA,7.83
1GA,5.08
1GA,5.08
1GA,6.5
1GA,7.5
1GA,8.67
1GA,3.67
1GA,7.67
1GA,8
1GA,5.25
1GA,2
1GA,8.5
1GA,7.5
1GA,5.75
1GA,8.5
1GA,8.83
1GA,8.25
1GA,5.33
1GA,5.17
1GA,5.58
1GA,6.58
1GA,6.83
1GA,7.17
1GA,3
1GA,8
1GA,3.58
1GA,8.25
1GA,6.83
1GA,3.33
1GA,9.08
1GA,6.42
1GA,9
1GA,7.5
1GA,5.75
1GA,7.25
1GA,8.75
1GA,5.33
1GA,7.5
1GA,8.67
1GA,7.5
1GA,6.75
1GA,6
1GA,8.33
1GA,8.67
1GA,8.33
1GA,3.33
1GA,6.17
1GA,4.67
1GA,8.33
1GA,7.83
1GA,9.67
1GA,4.75
1GA,8.17
1GA,7.67
1GA,6.33
1GA,7.67
1GA,3.42
1GA,8.83
1GA,8
1GA,7.25
1GA,8.42
1GA,9.17
1GA,7.67
1GC,6.25
1GC,7.08
1GC,8.5
1GC,6.58
1GC,6.33
1GC,9
1GC,7.58
1GC,4.5
1GC,5.25
1GC,8.75
1GC,7.33
1GC,8.67
1GC,8
1GC,2.42
1GC,9.83
1GC,0.83
1GC,3.5
1GC,4.33
1GC,7.75
1GC,7.83
1GC,6.33
1GC,7.5
1GC,2.5
1GC,7.67
1GC,7.42
1GC,2.75
1GC,8.33
1GC,4.83
1GC,2.25
1GC,4.58
1GC,6.5
1GC,7.42
1GC,6.42
1GC,4.5
1GC,7.08
1GC,6.75
1GC,5.75
1GC,1.83
1GC,3.5
1GC,7.67
1GC,1.08
1GC,2.08
1GC,7
1GC,7.33
1GC,3.25
1GC,7.33
1GC,7.33
1GC,2.58
1GC,8
1GC,7.33
1GC,7.25
1GC,5.67
1GC,4.42
1GC,7.33
1GC,7.58
1GC,8.08
1GC,1.25
1GC,6.75
1GC,3.25
1GC,6.83
1GC,6
1GC,5.08
1GC,7.42
1GC,1.67
1GC,6
1GC,6.75
1GD,6.67
1GD,4.33
1GD,4.08
1GD,7.17
1GD,7.17
1GD,7.83
1GD,7.67
1GD,7.17
1GD,2.67
1GD,8.75
1GD,4.75
1GD,7
1GD,3.92
1GD,5.58
1GD,5.58
1GD,5.58
1GD,6.25
1GD,4.42
1GD,3.75
1GD,4.92
1GD,5.33
1GD,6.75
1GD,3.5
1GD,7.58
1GD,6.92
1GD,6.83
1GD,8.75
1GD,5.92
1GD,7
1GD,2.33
1GD,8.92
1GD,7.25
1GD,5.67
1GD,3.67
1GD,6.25
1GD,7.58
1GD,2.08
1GD,6.17
1GD,8
1GD,5.58
1GD,6.08
1GD,3.17
1GD,8
1GD,6.75
1GD,7.5
1GD,5.58
1GD,6.25
1GD,3.67
1GD,6.75
1GD,2.75
1GD,3.17
1GG,5.5
1GG,5
1GG,3.67
1GG,4.42
1GG,5.5
1GG,1.17
1GG,5.75
1GG,1.08
1GG,2.92
1GG,4.5
1GG,7
1GG,7.83
1GG,7.33
1GG,6.33
1GG,3.83
1GG,6.67
1GG,5.5
1GG,6.75
1GG,2.83
1GG,7
1GG,5.67
1GG,4.92
1GG,7.83
1GG,6.25
1GG,6.17
1GG,3.67
1GG,5.5
1GG,7.25
1GG,1.25
1GG,5.33
1GG,4.75
1GG,3.58
1GG,2.17
1GG,6
1GG,1.92
1GG,5.58
1GG,8.17
1GG,6.5
1GG,4.42
1GG,3.92
1GG,6
1GG,1.75
1GG,2.58
1GG,6
1GG,6.83
1GG,2
1GV,6.75
1GV,5.25
1GV,5.83
1GV,2.33
1GV,2.92
1GV,6.83
1GV,6.33
1GV,7
1GV,6.25
1GV,3
1GV,6.17
1GV,2.92
1GV,7.08
1GV,9.33
1GV,5.17
1GV,2.42
1GV,3.17
1GV,6.17
1GV,5.42
1GV,4.25
1GV,7
1GV,4.92
1GV,7.67
1GV,1.75
1GV,6.58
1GV,6.67
1GV,6.75
1GV,2.75
1GV,5.83
1GV,6.17
1GV,1.67
1GV,2.75
1GV,7.58
1GV,4.75
1GV,2.25
1GV,3.5
1GV,7.33
1GV,3
1GV,8.33
1GV,7.25
1GV,3
1GV,6.67
1GV,2.25
1GV,5.42
1GV,5.92
1GV,4.75
1GV,7.67
1GV,0.33
1GV,7.58
1GV,5.17
1GV,1.75
1GV,6.92
1GV,6.33
1GV,2.33
1GV,1.58
1GV,5.75
1GV,9.17
1GV,3
1GV,9.83
1GV,7.83
1GV,8.17
1GV,7.75
1GV,3
1GV,7.92
1GV,5.92
1GV,3.42
1GV,6.83
1GV,2.75
1GV,9.67
1GV,3.67
1GV,6.25
1GV,3.5
1GV,2.42
1GV,2.75
1GV,2.17
1GV,5.08
1HK,4.58
1HK,2.75
1HK,8.83
1HK,1.92
1HK,2.33
1HK,5.25
1HK,7.17
1HK,7.83
1HK,5.25
1HK,5.08
1HK,3.33
1HK,7.08
1HK,5.25
1HK,2.33
1HK,6.17
1HK,1.17
1HK,7.08
1HK,1.75
1HK,8
1HK,1.92
1HK,7.25
1HK,4.58
1HK,8.42
1HK,6.58
1HK,6.08
1HK,8.83
1HK,7.17
1HK,8.67
1HK,4.83
1HK,2.75
1HK,1
1HK,7.83
1HK,7.67
1HK,7.5
1HK,2.58
1HK,8.5
1HK,8.83
1HK,6.92
1HK,6.92
1HK,5.42
1HK,4.75
1HK,8
1HK,5.67
1HK,3.08
1HK,8.25
1HK,6.5
1HK,4.67
1HK,8.17
1HK,6.67
1HK,7.58
1HK,7.83
1HK,5.17
1HK,3.08
1HK,7.17
1HK,8.92
1HK,6.75
1HK,6.83
1HK,5.5
1HK,5.17
1HK,7.5
1HK,6.25
1HK,3.58
1HK,8
1HK,8.25
1HK,8.67
1HK,8.83
1HK,8
1HK,1.17
1HK,1.5
1HK,5
1HK,3.83
1HK,3.75
1HK,6.42
1HK,2.33
1HK,8.67
1HK,5.5
1HK,4.92
1HK,8.17
1HK,0.58
1HK,0.67
1HK,2.92
1HK,6.25
1HK,2.75
1HK,2.58
1HK,4.83
1HK,7
1HK,4.25
1HK,6.92
1HK,2.75
1HK,4.67
1HK,0.58
1HK,8
1HK,4.33
1HK,6.83
1HK,8.67
1HK,9.67
1HK,7.67
1HK,4.83
1HK,9
1HK,6.08
1HK,3.75
1HK,3.67
1HK,6
1HK,6.5
1HK,0.83
1HK,7.83
1HK,6.58
1HK,3.92
1HK,6.67
1HK,2.17
1HK,4.83
1HK,7
1HK,1.83
1HK,5.33
1HK,6.67
1HK,2.33
1HK,4.25
1HK,2.58
1HK,8.17
1HK,7.75
1HK,1.33
1HK,1.25
1HK,7.67
1HK,7.67
1HK,8.33
1HK,2.67
1HK,4.42
1HK,7.5
1HK,6.42
1HK,8
1HK,6.42
1HK,8
1HK,8.83
1HK,5.5
1HK,8.5
1HK,5.92
1HK,7.67
1HK,8.25
1HK,7.67
1HK,2
1HK,6.33
1HK,5.67
1HK,6.92
1HK,7.75
1HK,6.92
1HK,5.33
1HK,7.5
1HK,5.17
1HK,7.75
1HK,1.42
1HK,7.42
1HK,7.67
1HK,5
1HK,7.5
1HK,8.33
1HK,8.5
1HK,4.42
1HK,5.83
1HK,5.17
1HK,8
1HK,6.83
1HK,8.83
1HK,7
1HK,7.33
1HK,8.17
1HK,8.67
1HK,6.58
1HK,5.75
1HK,8.17
1HK,5.25
1HK,4.58
1HM,2.67
1HM,5.42
1HM,5.42
1HM,5.5
1HM,2.25
1HM,3
1HM,5.58
1HM,3.92
1HM,2.5
1HM,2.33
1HM,6.75
1HM,6.17
1HM,1
1HM,8.08
1HM,8.58
1HM,5.58
1HM,5.58
1HM,7.67
1HM,7.92
1HM,4.67
1HM,1.25
1HM,3.5
1HM,6.42
1HM,6.25
1HM,2.33
1HM,5
1HM,4.17
1HM,8.25
1HM,6.83
1HM,5.17
1HM,7.92
1HM,8.42
1HM,2.75
1HM,3.08
1HM,3.58
1HM,3.92
1HM,3.83
1HM,5.67
1HM,4.83
1HM,6.83
1HS,2.83
1HS,6.92
1HS,4.75
1HS,7.75
1HS,4.92
1HS,7.5
1HS,0.67
1HS,3.58
1HS,7.5
1IC,6.58
1IC,6.5
1IC,4.67
1IC,8
1IC,1.92
1IC,2.5
1IC,7.08
1IC,3.58
1IC,5.25
1IC,5.58
1IC,4.92
1IC,2.67
1IC,2.75
1IC,5.17
1IC,3.25
1IC,7.42
1IC,7.42
1IC,6.33
1IC,3
1IC,2.5
1IC,2.75
1IC,5.67
1IC,5.17
1IC,0.42
1IC,6.25
1IC,2.58
1IC,3.33
1IC,6.58
1IC,0.83
1IC,6.33
1IC,6.75
1IC,1.92
1IC,2.92
1IC,7
1IC,2.33
1IC,3.92
1IC,2
1IC,6.58
1IC,2.5
1IC,4.33
1IC,4.83
1IC,3.08
1II,2.08
1II,8.83
1II,6.75
1II,4.25
1II,5.58
1II,5.25
1II,1.67
1II,2.08
1II,1.5
1II,3.42
1II,5.58
1II,7.33
1II,5
1II,5.17
1II,3.25
1II,3
1II,4.25
1II,6.08
1II,5.08
1JB,9.08
1JB,8.17
1JB,9.17
1JB,8.33
1JB,8.83
1JB,7.08
1JB,7.42
1JB,2.83
1JB,7.92
1JB,7.92
1JB,6.08
1JB,6.67
1JB,8.58
1JB,9.17
1JB,7.17
1JB,6.5
1JB,8.5
1JB,3.08
1JB,7.17
1JB,9
1JB,8.67
1JB,9.5
1JB,8.33
1JB,6.67
1JB,7.17
1JB,4.33
1JB,8.58
1JB,7.17
1JB,9
1JB,8.83
1JB,7.17
1JB,8.08
1JB,5.25
1JB,7.67
1JB,8.67
1JB,2.83
1JB,8.75
1JB,8.42
1JB,8.83
1JB,7.75
1JB,5.33
1JB,6.67
1JB,8.17
1JB,9.17
1JB,8.17
1JB,5.83
1JB,8.33
1JB,8.83
1JB,6.83
1JB,6
1JB,8.5
1JB,9.33
1JB,7.33
1JB,1.17
1JB,8.33
1JB,7.25
1JB,9.17
1JB,7.17
1JB,8.92
1JB,8.83
1JB,8.17
1JB,9.17
1JB,2.17
1JB,5.33
1JB,6.17
1JB,8
1JB,7.25
1JB,7.83
1JB,6.75
1JB,8.67
1JB,9
1JB,8.5
1JB,7.08
1JB,8.42
1JB,8.83
1JB,8.33
1JB,7.58
1JB,2.67
1JB,7.25
1JB,7
1JB,9.33
1JB,4.08
1JB,8.58
1JB,9.17
1JB,7.92
1JB,7.67
1JB,5.58
1JB,9.17
1JB,9.83
1JB,8.67
1JB,7.42
1JB,8.58
1JB,7.17
1JB,5.67
1JB,8.58
1JB,7.58
1JB,7.08
1JB,4
1JB,7.08
1JB,8.92
1JB,8.83
1JB,6.58
1JB,8.5
1JB,9.17
1JB,7.25
1JB,8.17
1JB,7.67
1JB,8.25
1JB,8.92
1JB,5.25
1JB,6.25
1JB,8.5
1JB,8
1JB,5.25
1JB,7.92
1JB,5.5
1JB,8
1JB,7
1JB,6.67
1JB,6.67
1JB,8.25
1JB,8.25
1JB,7.42
1JB,7.08
1JB,9
1JB,6.33
1JB,8
1JB,8.75
1JB,7.42
1JB,7.17
1JB,9.33
1JB,8.08
1JB,6.42
1JB,8.58
1JB,5.5
1JB,8.25
1JB,8.58
1JB,1.17
1JB,8.17
1JB,6.17
1JB,6.75
1JB,9.17
1JB,9
1JB,5.5
1JB,8.83
1JB,4.83
1JB,8.08
1JB,5.92
1JB,9.5
1JB,7
1JB,7.5
1JB,9
1JB,8.83
1JB,8.5
1JB,9
1JB,8.67
1JB,8.33
1JB,6.17
1JB,9
1JB,7.75
1JB,8.58
1JB,8
1JB,9.67
1JB,8.08
1JB,8.42
1JB,8.17
1JB,7.25
1JB,8.33
1JB,6.5
1JB,6.5
1JB,8.17
1JB,7.5
1JB,8.58
1JB,8.67
1JB,6
1JB,9.17
1JB,9.33
1JB,7.33
1JB,9
1JS,6.08
1JS,6.5
1JS,6.17
1JS,7.83
1JS,8.58
1JS,3
1JS,9
1JS,6.08
1JS,5.17
1JS,7.67
1JS,7.75
1JS,8.83
1JS,9.42
1JS,6.92
1JS,5.58
1JS,7.83
1JS,8.83
1JS,6.92
1JS,8.83
1JS,6.5
1JS,8.58
1JS,8.5
1JS,7.67
1JS,8.17
1JS,5.67
1JS,7.42
1JS,7.08
1JS,7
1JS,8.33
1JS,9
1JS,9.33
1JS,7
1JS,9.67
1JS,6.75
1JS,7
1JS,5.08
1JS,7.58
1JS,8.33
1JS,9
1JS,7.33
1JS,6.67
1JS,8.17
1JS,7.83
1JS,8.42
1JS,5.75
1JS,8.67
1JS,9.42
1JS,8.67
1JS,9
1JS,8.08
1JS,4.92
1JS,6.58
1JS,7.58
1JS,4.58
1JS,8.67
1JS,8.08
1JS,8.67
1JS,6.75
1JS,8.92
1JS,8
1JS,5.67
1JS,5.92
1JS,8
1JS,9.25
1JS,8
1JS,5.17
1JS,7.25
1JS,1.92
1JS,6.58
1JS,4.67
1JS,6.5
1JS,8.42
1JS,8
1JS,8
1JS,8.33
1JS,3.67
1JS,8.17
1JS,6.25
1JS,6.67
1JS,5.67
1JS,8.58
1JS,5
1JS,9
1JS,5.75
1JS,8.25
1JS,8.33
1JS,7.08
1JS,8.17
1JS,7.67
1JS,6.92
1JS,9
1JS,6.42
1JS,7.25
1JS,9
1JS,4.58
1JS,0.67
1JS,8.42
1JS,8.5
1JS,8.33
1JS,3.08
1JS,8.75
1JS,9.67
1JS,7.58
1JS,8.67
1JS,6.75
1JS,8.83
1JS,7.83
1JS,6
1JS,5
1JS,8.92
1JS,8.92
1JS,7.5
1JS,7.25
1JS,6.42
1JS,7.42
1JS,8.08
1JS,6.25
1JS,7.25
1JS,8.75
1JS,8.75
1JT,7
1JT,7.92
1JT,6.33
1JT,5.92
1JT,6.42
1JT,7.75
1JT,8
1JT,4.42
1JT,8.83
1JT,7.33
1JT,5.92
1JT,6.67
1JT,4.33
1JT,5.83
1JT,6.5
1JT,3.25
1JT,5.75
1JT,5.5
1JT,5.58
1JT,6.5
1JT,8.5
1JT,8.17
1JT,6.33
1JT,7.67
1JT,8.67
1JT,8.17
1JT,8.17
1JT,9
1JT,3.83
1JT,3.83
1JT,1.08
1JT,8.58
1JT,7.67
1JT,8.17
1JT,6.42
1JT,8.33
1JT,4.33
1JT,8.08
1JT,7.25
1JT,6.08
1JT,7.83
1JT,7.33
1JT,8.33
1JT,8.67
1JT,4.33
1JT,5.83
1JT,7.25
1JT,4.58
1JT,8.25
1JT,6.67
1JT,4.25
1JT,6
1JT,7.83
1JT,4.5
1JT,4.83
1JT,8.67
1JT,8.17
1JT,4.58
1JT,5.75
1JT,3.75
1JT,4.5
1JT,5.33
1JV,6.5
1JV,3.92
1JV,7.92
1JV,1.83
1JV,7.17
1JV,6.83
1JV,7.08
1JV,3.83
1JV,8.17
1JV,5.25
1JV,8
1JV,5.58
1JV,6.33
1JV,1.83
1JV,7.25
1JV,7.33
1JV,4.75
1JV,5.83
1JV,2.75
1JV,3.25
1JV,6.58
1JV,2.17
1JV,4.75
1JV,7.17
1JV,1.5
1JV,2.67
1JV,4.83
1JV,3.33
1JV,2.33
1JV,7.75
1JV,3.58
1JV,7.08
1JV,5.42
1JV,5.08
1JV,6.25
1JV,8.5
1JV,5.33
1JV,7.83
1KI,7.25
1KI,7.33
1KI,6.5
1KI,5.33
1KI,5.33
1KI,3.08
1KI,6.58
1KI,7.08
1KI,5.08
1KI,3.25
1KI,7.08
1KI,6.75
1KI,7.08
1KI,6.33
1KI,5.08
1KI,6.25
1KI,3.5
1KI,8.25
1KI,4.17
1KI,2
1KI,3.17
1KI,6.83
1KI,7.83
1KI,5.67
1KI,7.75
1KI,4.17
1KI,6.17
1KI,3
1KI,5.75
1KI,6.5
1KI,7.08
1KI,5.17
1KI,6.58
1KI,2
1KI,7.17
1KI,6.83
1KI,8.58
1KI,7.17
1KI,6.75
1KI,5.5
1KI,8.25
1KI,4.42
1KI,8.42
1KI,4.17
1KI,6.75
1KI,7.75
1KI,5.25
1KI,5.08
1KI,3.83
1KI,5.75
1KI,7.25
1KI,2.33
1KI,5.67
1KI,5.58
1KI,5.75
1KI,6.42
1KI,5.75
1KI,5.92
1KI,6.5
1KI,6.67
1KI,4.5
1KI,4.83
1KI,5.17
1KI,7.17
1KI,7.42
1KI,5.83
1KI,7.5
1KI,6.25
1KI,6.83
1KI,7.92
