CC,sgpa
1AT,3.17
1AT,4.42
1AU,4
1AU,5.5
1AU,7.75
1AU,6.67
1AU,8.83
1AU,4.42
1AU,7
1AU,7
1AU,8
1AU,3.67
1AU,5.83
1AU,7.83
1AU,4.42
1AU,7.42
1AU,4.83
1AU,7.83
1AU,6.5
1AU,8.5
1AU,3.08
1AU,6.17
1AU,4.75
1AU,5.75
1AU,4.58
1AU,6.08
1AU,5.67
1AU,5.33
1AU,6.08
1AU,8
1AU,7.33
1AU,5.42
1AU,5.92
1AU,1.92
1AU,4.58
1AU,1.83
1AU,6.25
1AU,5.67
1AU,6.75
1AU,6.58
1AU,3.33
1AU,7.92
1AU,7
1AU,7
1AU,5.83
1AU,3.75
1AU,3.67
1AU,3.5
1BC,6.83
1BC,5.08
1BC,1
1BC,5.42
1BC,0.42
1BC,3.5
1BC,6.83
1BC,7.58
1BC,6.92
1BG,8.33
1BG,6.42
1BG,7.33
1BG,8.67
1BG,6
1BG,7.83
1BG,8.5
1BG,9
1BG,8.08
1BG,9.25
1BG,7.75
1BG,7.92
1BG,9
1BG,2.08
1BG,9.5
1BG,8.17
1BG,6.33
1BG,9
1BG,3.58
1BG,9.17
1BG,9.17
1BG,7.5
1BG,7.83
1BG,8.67
1BG,8.67
1BG,8.67
1BG,9.33
1BG,8.83
1BG,9
1BG,3.42
1BG,5.75
1BG,5.42
1BG,8
1BG,7.42
1BG,7
1BG,8.83
1BG,6.83
1BG,9.17
1BG,8.25
1BG,5.58
1BG,9.17
1BG,8
1BG,9.17
1BG,8.5
1BG,5.25
1BG,2.92
1BG,8.42
1BG,8
1BG,8
1BG,9.5
1BG,7.83
1BG,1.92
1BG,8.92
1BG,7.42
1BG,7.83
1BG,9.5
1BG,7.67
1BG,7.75
1BG,8.17
1BG,5.67
1BG,8.5
1BG,8.83
1BG,8.42
1BG,10
1BG,9.33
1BG,9.5
1BG,6.25
1BG,9.67
1BG,9.67
1BG,8.25
1BG,5.83
1BG,8.67
1BG,6.75
1BG,8.33
1BG,3.08
1BG,7
1BG,8.5
1BG,8.83
1BG,5.33
1BG,8.5
1BG,8.58
1BG,5.08
1BG,6.17
1BG,7.83
1BG,8.67
1BG,9.17
1BG,9
1BG,7.67
1BG,6.83
1BG,5.42
1BG,7.92
1BG,7.25
1BG,8.33
1BG,6.33
1BG,8
1BG,9
1BG,8.5
1BG,8.5
1BG,7.5
1BG,9.42
1BG,4.75
1BG,8.25
1BG,8.58
1BG,8.33
1BG,8.5
1BG,8.75
1BG,9.42
1BG,9.5
1BG,4.5
1BG,9.75
1BG,6.08
1BG,7.67
1BG,8.25
1BG,8.67
1BG,8.42
1BG,8.92
1BG,6.92
1BG,6.83
1BG,4.75
1BG,8
1BG,9.5
1BH,7.17
1BH,8
1BH,6
1BH,3.17
1BH,6.83
1BH,8.58
1BH,6.83
1BH,8
1BH,5.33
1BH,3.17
1BH,4
1BH,5.75
1BH,8
1BH,6.33
1BH,6
1BH,7.17
1BH,4.08
1BH,8.83
1BH,6.75
1BH,5
1BH,8
1BH,5.33
1BH,6.83
1BH,2.5
1BH,8.67
1BH,1.92
1BH,6.67
1BH,6.83
1BH,5.5
1BH,7.25
1BH,8.25
1BH,3.33
1BH,6.83
1BH,6.83
1BH,4.92
1BH,8.42
1BH,7.67
1BH,5.92
1BH,5.67
1BH,8
1BH,8.75
1BH,7.08
1BH,4.92
1BH,8
1BH,5.58
1BH,3.42
1BH,7.92
1BH,2.83
1BH,3
1BH,6.17
1BH,3
1BH,8.58
1BH,6.58
1BH,3
1BH,4.58
1BH,7.25
1BH,4.25
1BH,1.08
1BH,6.67
1BH,7.67
1BH,6.67
1BH,8.92
1BH,6
1BH,3.42
1BH,7
1BH,5
1BH,7.67
1BH,2.83
1BH,2.25
1BI,5.92
1BI,9.17
1BI,8.08
1BI,8.5
1BI,5.5
1BI,9.33
1BI,9.33
1BI,9.17
1BI,7.92
1BI,8.83
1BI,8.17
1BI,9.83
1BI,5.75
1BI,7.83
1BI,9.17
1BI,7.5
1BI,6.08
1BI,8.67
1BI,9.33
1BI,5.5
1BI,9.5
1BI,7.83
1BI,9
1BI,7.67
1BI,9.5
1BI,4.58
1BI,8.67
1BI,9.33
1BI,3.08
1BI,8.42
1BI,8.25
1BI,7.25
1BI,9.33
1BI,7.67
1BI,7.17
1BI,4.08
1BI,6.17
1BI,7.5
1BI,6.42
1BI,3.92
1BI,8.83
1BI,9
1BI,8.5
1BI,9.17
1BI,7.75
1BI,7.33
1BI,7.58
1BI,8.25
1BI,8.25
1BI,5.33
1BI,7.83
1BI,2.67
1BI,7.75
1BI,8
1BI,7.58
1BI,9.5
1BI,9.5
1BI,7.92
1BI,5.5
1BI,9.08
1BI,5.17
1BI,7.17
1BI,8.92
1BI,6.83
1BI,9.33
1BI,7
1BI,3.42
1BI,9.25
1BI,8.17
1BI,4.5
1BI,3
1BI,8
1BI,8.42
1BI,2.42
1BI,7.5
1BI,8.75
1BI,8.5
1BI,2.67
1BI,8.58
1BI,7.08
1BI,8.08
1BI,8.33
1BI,8.67
1BI,4.08
1BI,8.75
1BI,8.5
1BI,4.42
1BI,8.67
1BI,9.25
1BI,8.67
1BI,8.5
1BI,8
1BI,8.17
1BI,8.17
1BI,7.17
1BI,9.67
1BI,8.33
1BI,3.5
1BI,8.83
1BI,9
1BI,9
1BI,3.83
1BI,8.42
1BI,6.67
1BI,8.33
1BI,8.5
1BI,4.08
1BI,9.33
1BI,8.67
1BI,7.42
1BI,8.5
1BI,8.67
1BI,8.5
1BI,9.5
1BI,6.17
1BI,8.17
1BI,8.25
1BI,7.25
1BI,8
1BI,9.17
1BI,9.33
1BI,8.83
1BI,3.67
1BI,7.08
1BI,8.42
1BI,8.17
1BI,7.17
1BI,9
1BI,9.33
1BI,7.5
1BI,8.5
1BI,4
1BI,8.83
1BI,8.5
1BI,4.25
1BI,6
1BI,9
1BI,4.5
1BI,4.92
1BI,9
1BI,8.5
1BI,7.33
1BI,9.33
1BI,8.83
1BI,8.67
1BI,7.17
1BI,8.08
1BI,9.5
1BI,8.5
1BI,3.67
1BI,7
1BI,7.67
1BI,6.17
1BI,3.58
1BI,8
1BI,8
1BI,8.33
1BI,9.5
1BI,9.5
1BI,8.83
1BI,9.33
1BI,9.08
1BI,5.08
1BI,8.33
1BI,7.83
1BI,8.5
1BI,7
1BI,9
1BI,9.08
1BI,7.5
1BI,9
1BI,8.83
1BI,1.25
1BI,8.25
1BI,4.92
1BI,6.83
1BI,5.83
1BI,3.08
1BI,7.17
1BI,8.25
1BI,2.67
1BI,8.83
1BO,9
1BO,7.75
1BO,3.17
1BO,7.25
1BO,7.75
1BO,7.5
1BO,6.58
1BO,5.5
1BO,5
1BO,7.08
1BO,0.5
1BO,5.17
1BO,5
1BO,2.67
1BO,3.83
1BO,2.83
1BO,7.83
1BO,2.08
1BO,6.42
1BO,8.33
1BO,6.33
1BO,7.67
1BO,3
1BO,4.67
1BO,6.33
1BO,5.92
1BO,8.67
1BO,5.5
1BO,7.25
1BO,3.92
1BO,4.58
1BO,2.17
1BO,6
1BO,2.67
1BO,6.42
1BO,8.33
1BO,7.33
1BO,7.42
1BO,3.33
1BO,8.83
1BO,5.5
1BO,4.42
1BO,6.92
1BO,5.75
1BO,8.58
1BO,3.58
1BO,5
1BO,5
1BO,7.08
1BO,5.67
1BO,7.83
1BO,5.25
1BO,3.58
1BO,6.5
1BO,8.5
1BO,7.58
1BO,6.5
1BO,4.75
1BO,8
1BO,5.25
1BO,7.75
1BO,5.42
1BO,3.75
1BO,2.58
1BO,2.5
1BO,3.58
1BO,6.58
1BO,5.83
1BO,2.92
1BO,2.67
1BO,7.83
1BO,8.25
1BO,2.25
1BO,6.25
1BO,8.33
1BO,7.17
1BO,7.75
1BO,3.17
1BO,8.08
1BO,1.5
1BO,8.25
1BO,3.75
1BO,4.25
1BO,6.25
1BO,5.17
1BO,3.75
1BO,8.25
1BO,7.33
1BO,7.83
1BO,6.83
1BO,8.33
1BO,6.92
1BO,5.25
1BO,6.42
1BO,7.17
1BO,7.25
1BO,3.58
1BO,8.92
1BO,4.58
1BO,6.25
1BO,3
1BO,8.33
1BO,1.17
1BT,5.75
1BT,5
1BT,7.33
1BT,5.67
1BT,5.67
1BT,3.92
1BT,1.08
1BT,9.33
1BT,4.42
1BT,7.25
1BT,7.75
1BT,6.67
1BT,4.58
1BT,3.17
1BT,2.75
1BT,2
1BT,2.17
1BT,5.17
1BT,6.83
1BT,5.08
1BT,1.5
1BT,2
1BT,8.42
1BT,6.42
1BT,6.25
1BT,5.58
1BT,7
1BT,7.08
1BT,4
1BT,5.75
1BT,5.42
1BT,4
1BT,3.17
1BT,1.83
1BT,7
1BT,4.17
1BT,4.25
1BT,7.58
1BT,7.58
1BT,2.83
1BT,0.58
1BT,0.42
1BT,4.83
1BT,3.75
1BT,6.25
1BT,3
1BT,5.58
1BT,2.67
1BT,0.67
1BT,2.92
1BT,2.83
1BT,6.25
1BT,6.75
1BT,1.92
1BT,4
1BT,4.17
1BT,4.5
1BT,6.33
1BY,8.83
1BY,4.25
1BY,6.5
1BY,7.67
1BY,7.58
1BY,6.83
1BY,8.58
1BY,8.25
1BY,9.25
1BY,7.83
1BY,7.42
1BY,8.67
1BY,8
1BY,8.25
1BY,8.33
1BY,6.92
1BY,7
1BY,8.08
1BY,5.17
1BY,7.67
1BY,7.58
1BY,8.42
1BY,8.08
1BY,8
1BY,4.42
1BY,8.08
1BY,7.67
1BY,8.75
1BY,7.42
1BY,9.17
1BY,8.92
1BY,8.17
1BY,3.83
1BY,0.42
1BY,1.25
1BY,8.25
1BY,8.17
1BY,7.33
1BY,3.33
1BY,8.25
1BY,2.25
1BY,9.17
1BY,5.25
1BY,7.83
1BY,8.42
1BY,8.42
1BY,6.08
1BY,7.58
1BY,9
1BY,8.08
1BY,5.25
1BY,9.42
1BY,7.25
1BY,6.75
1BY,7.58
1BY,6.75
1BY,9
1BY,7.67
1BY,5.33
1BY,3.83
1BY,7.92
1BY,8.08
1BY,8.25
1BY,5.58
1BY,9
1BY,7.75
1BY,5.58
1BY,8.5
1BY,6.75
1BY,3.83
1BY,8.83
1BY,8.5
1BY,7.83
1BY,8
1BY,0.83
1BY,9
1BY,9.83
1BY,6.25
1BY,8.67
1BY,8.17
1BY,7.83
1BY,7.83
1BY,7.58
1BY,8.42
1BY,8.58
1BY,6.92
1BY,2.83
1BY,8.33
1BY,9.25
1BY,7.42
1BY,8.42
1BY,2.83
1BY,8.33
1BY,6.5
1BY,8.5
1BY,4.42
1BY,1.83
1BY,5.92
1BY,8.33
1BY,1.92
1BY,7.67
1BY,6.25
1BY,6.83
1BY,8.92
1CC,7.67
1CC,2.75
1CC,7.5
1CC,8.83
1CC,8
1CC,3.67
1CC,5.08
1CC,7.83
1CC,3.25
1CC,5.58
1CC,2.5
1CC,8.42
1CC,6
1CC,2.67
1CC,8.33
1CC,3.67
1CC,5
1CC,6.33
1CC,4.33
1CC,8.5
1CC,7.5
1CC,3
1CC,4.17
1CC,8.75
1CC,3.83
1CC,4.25
1CC,8.67
1CC,7.33
1CC,7.25
1CC,5.92
1CC,6
1CC,6.75
1CC,2.58
1CC,4
1CC,8
1CC,3.75
1CC,7.83
1CD,5.75
1CD,5
1CD,6.25
1CD,6.25
1CD,8.08
1CD,3.17
1CD,3.08
1CD,6.17
1CD,3.42
1CD,7.58
1CD,7.75
1CD,4.67
1CD,7.67
1CD,5.33
1CD,7.67
1CD,8.33
1CD,3.33
1CD,7.75
1CD,8.92
1CD,6.5
1CD,5.83
1CD,1.5
1CD,7.42
1CD,2.75
1CD,4.25
1CD,8.83
1CD,4.08
1CD,5.25
1CD,6.5
1CD,5.75
1CD,6.75
1CD,6
1CD,5.25
1CD,2.92
1CD,0.83
1CD,8.67
1CD,6.42
1CD,8.75
1CD,6.92
1CD,7.08
1CD,6.33
1CD,7.58
1CD,8.83
1CD,6.58
1CD,9.17
1CD,8.75
1CD,6.42
1CD,6.58
1CD,8.83
1CD,2.75
1CD,5
1CD,7.5
1CD,4.42
1CD,1.58
1CD,2.75
1CD,5.75
1CD,3.42
1CD,3.08
1CD,3.33
1CD,8.83
1CD,4.75
1CD,7.67
1CD,1.83
1CD,8.67
1CD,5.42
1CD,9.33
1CD,7.75
1CD,5.75
1CD,8.58
1CD,5.83
1CD,3.08
1CD,6.33
1CD,6
1CD,8.17
1CD,4.75
1CD,6.92
1CD,6
1CD,3.33
1CD,7.25
1CD,4.5
1CD,8.17
1CD,7.75
1CD,7
1CD,7.08
1CD,5.67
1CD,7.92
1CD,5.42
1CD,7.83
1CD,1.5
1CD,7.08
1CD,6.33
1CD,6.83
1CD,6.83
1CD,8.83
1CD,3.42
1CD,3.83
1CD,1.67
1CD,7.67
1CD,6.5
1CD,9.17
1CD,1.67
1CD,8.08
1CD,8
1CD,9.25
1CD,5.42
1CD,3.92
1CD,2.75
1CD,3.67
1CD,7.08
1CD,6.33
1CD,7.42
1CD,3.67
1CD,9.08
1CD,6.25
1CD,6.5
1CD,7.33
1CD,7.5
1CD,3.83
1CD,2.08
1CD,7.83
1CD,8.75
1CD,9
1CD,7.5
1CD,7.42
1CD,3
1CD,8.92
1CD,3.17
1CD,8.17
1CD,6.83
1CD,6.08
1CD,9
1CD,7.83
1CD,9.17
1CD,6.92
1CD,7.33
1CD,4
1CD,4.83
1CD,6.92
1CD,6.83
1CD,9
1CD,4.5
1CD,3.25
1CD,7.83
1CD,7.17
1CD,4.58
1CD,8.17
1CD,6.75
1CD,4.67
1CD,7.83
1CD,6.75
1CD,2.67
1CD,8.83
1CD,8.75
1CD,8.17
1CD,7.83
1CD,7.67
1CD,7.67
1CD,8.67
1CD,1.58
1CD,8.5
1CD,5.92
1CD,6.67
1CD,7.42
1CD,8.08
1CD,7.42
1CD,0.67
1CD,8.25
1CD,4.75
1CD,9.5
1CD,8.83
1CD,7.67
1CD,6.58
1CD,3.42
1CD,8.42
1CD,8.08
1CD,6.33
1CD,7.33
1CD,5.17
1CD,7.42
1CD,7.92
1CE,7.17
1CE,2
1CE,9
1CE,6.75
1CE,2.67
1CE,9.17
1CE,6.92
1CE,5.83
1CE,6.5
1CE,7.83
1CE,5.42
1CE,7.33
1CE,5.92
1CE,3.33
1CE,5.33
1CE,5.92
1CE,7.42
1CE,6.67
1CE,1.83
1CE,7.17
1CE,6.75
1CE,3.67
1CE,2.58
1CE,2.17
1CE,5.83
1CE,6.83
1CE,1.83
1CE,5.58
1CE,4.08
1CE,6.25
1CE,5
1CE,5.92
1CE,6.42
1CE,6.42
1CE,5.25
1CE,1.67
1CE,5.33
1CE,4.42
1CE,6.67
1CE,3
1CE,6.17
1CE,7.17
1CE,8.33
1CE,5.92
1CE,4.75
1CE,3.17
1CE,4.58
1CE,2.92
1CE,6.92
1CE,7.92
1CE,7.33
1CE,2.58
1CE,7.75
1CE,2.83
1CE,8.83
1CE,7.17
1CE,8.25
1CE,3.58
1CE,1.83
1CE,2.5
1CE,4.75
1CE,6.08
1CE,8.33
1CE,3.75
1CE,6.75
1CE,6.33
1CE,6.42
1CE,2.42
1CE,5.5
1CE,3.5
1CE,7
1CE,5.75
1CE,5.75
1CE,6.67
1CE,2.25
1CE,3.67
1CE,1.75
1CE,4.83
1CE,3.25
1CE,4.83
1CE,6.08
1CE,7.08
1CE,5.58
1CE,5.25
1CE,6.17
1CE,8.75
1CE,4.25
1CE,4.42
1CE,5.08
1CE,5.33
1CE,0.92
1CE,1.25
1CE,7.58
1CE,6.08
1CE,5
1CE,7
1CE,4.67
1CE,1.75
1CE,6.08
1CE,6.83
1CE,6.58
1CE,8
1CE,5.67
1CE,7.83
1CE,7.25
1CE,6.83
1CE,0.58
1CE,3.17
1CE,3.92
1CE,8.83
1CE,5.17
1CE,3.58
1CE,4
1CE,6.92
1CG,7.5
1CG,7.33
1CG,5.25
1CG,2.67
1CG,8.25
1CG,6.25
1CG,3.75
1CG,3.75
1CG,7.83
1CG,7.58
1CG,6.33
1CG,4
1CG,6.33
1CG,5.08
1CG,6.17
1CG,5.67
1CG,6.58
1CG,8.92
1CG,5.92
1CG,6.42
1CG,6.33
1CG,6.08
1CG,4.08
1CG,7.25
1CG,7.17
1CG,7.67
1CG,7.67
1CG,3.25
1CG,5.83
1CG,7.17
1CG,7
1CG,4.42
1CG,3.92
1CG,6.33
1CG,7.33
1CG,6.83
1CG,6
1CG,5.17
1CG,6.5
1CG,7.58
1CG,3.67
1CG,8.17
1CG,4.58
1CG,3.75
1CG,6.08
1CG,3.83
1CG,6.17
1CG,7.33
1CG,2.58
1CG,7.67
1CG,8.17
1CG,8.33
1CG,5.83
1CG,5.17
1CG,0.75
1CG,7.67
1CG,5.67
1CG,3.33
1CG,1.25
1CG,8.5
1CG,4.83
1CG,8.83
1CG,6.58
1CG,6.83
1CG,7.75
1CG,6.92
1CG,3.33
1CG,4.67
1CG,4.33
1CG,5.58
1CG,7.33
1CG,8.58
1CG,7.83
1CG,1.42
1CG,6.33
1CG,6
1CG,8.33
1CG,9
1CG,7.17
1CG,8.33
1CG,3.25
1CG,4.83
1CG,3
1CG,6.08
1CG,8.17
1CG,7.58
1CG,4.83
1CG,8.67
1CG,7.42
1CG,5.08
1CG,6.67
1CG,7.67
1CG,4.58
1CG,7.5
1CG,7.83
1CG,7.5
1CG,6.25
1CG,5.5
1CG,5.58
1CG,8.08
1CG,3.08
1CG,5.67
1CG,8.92
1CG,8
1CG,4.17
1CG,4.17
1CG,7.17
1CG,7.83
1CG,5.83
1CG,7.83
1CG,7
1CG,5.92
1CG,4.92
1CG,8.67
1CG,9.17
1CG,5.42
1CG,1.5
1CG,0.92
1CG,5
1CG,6.5
1CG,6.42
1CG,8.08
1CG,8.17
1CG,7.25
1CK,7.17
1CK,6.17
1CK,7.83
1CK,5.58
1CK,6.08
1CK,5.42
1CK,4.58
1CK,6.25
1CK,5.67
1CK,8.83
1CK,6.92
1CK,0.92
1CK,6.33
1CK,2.08
1CK,5.67
1CK,6.33
1CK,8.92
1CK,3.42
1CK,7.5
1CK,8
1CK,3
1CK,5.83
1CK,3.17
1CK,5.25
1CK,1
1CK,8.67
1CK,7.33
1CK,7
1CK,8.5
1CK,6.25
1CK,6.92
1CK,2
1CK,5.25
1CK,3.25
1CK,7.75
1CK,8.92
1CK,8.17
1CK,4.92
1CK,4.17
1CK,1.17
1CK,7.75
1CK,3.25
1CK,2.92
1CK,4.92
1CK,3.5
1CK,3.42
1CK,2.5
1CK,5.5
1CK,6.17
1CK,8.58
1CK,6.17
1CK,2.75
1CK,6.42
1CK,8
1CK,4.67
1CK,3.17
