CC,USN,sgpa
1AK,1AK16CS022,5.42
1AK,1AK16CS023,6.08
1AK,1AK16CS024,4.92
1AK,1AK16CS025,5.5
1AK,1AK16CS026,7.08
1AK,1AK16CS027,2.83
1AK,1AK16CS028,4.83
1AK,1AK16CS029,6.75
1AK,1AK16CS030,5.92
1AK,1AK16CS031,3
1AK,1AK16CS032,3.83
1AK,1AK16CS033,5.08
1AK,1AK16CS034,3.08
1AK,1AK16CS035,5.58
1AK,1AK16CS036,4.92
1AK,1AK16CS037,3
1AK,1AK16CS038,8.75
1AK,1AK16CS039,6.92
1AK,1AK16CS040,1.67
1AK,1AK16CS041,2.58
1AK,1AK16CS042,2.83
1AM,1AM16CS001,3.92
1AM,1AM16CS002,7.58
1AM,1AM16CS003,2.5
1AM,1AM16CS004,4
1AM,1AM16CS005,7.67
1AM,1AM16CS006,6.92
1AM,1AM16CS007,8.17
1AM,1AM16CS008,7.92
1AM,1AM16CS010,8.33
1AM,1AM16CS011,3.5
1AM,1AM16CS012,4.83
1AM,1AM16CS013,9.17
1AM,1AM16CS014,7.5
1AM,1AM16CS015,8.67
1AM,1AM16CS016,3.25
1AM,1AM16CS017,8.33
1AM,1AM16CS018,9.17
1AM,1AM16CS019,8.58
1AM,1AM16CS020,6.25
1AM,1AM16CS021,8.08
1AM,1AM16CS022,4.08
1AM,1AM16CS023,3.75
1AM,1AM16CS024,6.42
1AM,1AM16CS025,7.5
1AM,1AM16CS026,4.25
1AM,1AM16CS027,3.33
1AM,1AM16CS028,9.25
1AM,1AM16CS029,0.42
1AM,1AM16CS031,4.25
1AM,1AM16CS032,7
1AM,1AM16CS033,7.58
1AM,1AM16CS034,8.33
1AM,1AM16CS035,8.17
1AM,1AM16CS036,8.67
1AM,1AM16CS037,7.92
1AM,1AM16CS038,4.58
1AM,1AM16CS039,5.5
1AM,1AM16CS041,4.33
1AM,1AM16CS042,0.33
1AM,1AM16CS043,8.5
1AM,1AM16CS044,7.75
1AM,1AM16CS045,9.17
1AM,1AM16CS046,2.67
1AM,1AM16CS047,3.75
1AM,1AM16CS048,6.67
1AM,1AM16CS049,8.58
1AM,1AM16CS050,7.92
1AM,1AM16CS051,6.75
1AM,1AM16CS052,8.25
1AM,1AM16CS053,6.17
1AM,1AM16CS054,3.58
1AM,1AM16CS055,3.75
1AM,1AM16CS056,7.67
1AM,1AM16CS057,3.42
1AM,1AM16CS058,7.58
1AM,1AM16CS059,5.5
1AM,1AM16CS060,7.17
1AM,1AM16CS061,1.67
1AM,1AM16CS062,7.17
1AM,1AM16CS063,6.17
1AM,1AM16CS064,9
1AM,1AM16CS065,9.33
1AM,1AM16CS066,7.5
1AM,1AM16CS067,6.5
1AM,1AM16CS068,2.92
1AM,1AM16CS070,6.33
1AM,1AM16CS071,6.5
1AM,1AM16CS072,7
1AM,1AM16CS073,8
1AM,1AM16CS074,5.67
1AM,1AM16CS075,8.08
1AM,1AM16CS076,7.08
1AM,1AM16CS078,8.67
1AM,1AM16CS079,3.25
1AM,1AM16CS080,7.83
1AM,1AM16CS081,9.5
1AM,1AM16CS082,8.83
1AM,1AM16CS083,5.75
1AM,1AM16CS084,6.75
1AM,1AM16CS085,4.33
1AM,1AM16CS086,4.75
1AM,1AM16CS087,5.25
1AM,1AM16CS088,5.5
1AM,1AM16CS089,6.58
1AM,1AM16CS090,6.83
1AM,1AM16CS092,9.17
1AM,1AM16CS093,5.58
1AM,1AM16CS094,8.33
1AM,1AM16CS095,8.33
1AM,1AM16CS096,6.17
1AM,1AM16CS097,7.33
1AM,1AM16CS098,6.5
1AM,1AM16CS099,8.83
1AM,1AM16CS100,6.42
1AM,1AM16CS101,8.58
1AM,1AM16CS102,2.17
1AM,1AM16CS103,3.92
1AM,1AM16CS106,8.17
1AM,1AM16CS107,6.67
1AM,1AM16CS108,3.67
1AM,1AM16CS110,7.5
1AM,1AM16CS111,8.5
1AM,1AM16CS112,9
1AM,1AM16CS113,9
1AM,1AM16CS115,6.75
1AM,1AM16CS116,0.83
1AM,1AM16CS118,7.42
1AM,1AM16CS119,6.67
1AM,1AM16CS120,6.83
1AM,1AM16CS121,6.42
1AM,1AM16CS122,4.75
1AM,1AM16CS123,6.92
1AM,1AM16CS124,7.67
1AM,1AM16CS125,6.83
1AM,1AM16CS126,6.17
1AM,1AM16CS127,6.25
1AM,1AM16CS128,6.08
1AM,1AM16CS129,7.5
1AM,1AM16CS130,9
1AM,1AM16CS132,5.25
1AM,1AM16CS133,7.42
1AM,1AM16CS134,7.75
1AM,1AM16CS135,8.58
1AM,1AM16CS136,8.25
1AM,1AM16CS137,6.33
1AM,1AM16CS138,5.5
1AM,1AM16CS139,7.5
1AM,1AM16CS140,8.58
1AM,1AM16CS141,8.58
1AM,1AM16CS142,6.25
1AM,1AM16CS143,6.58
1AM,1AM16CS144,8.75
1AM,1AM16CS145,9.33
1AM,1AM16CS146,8.5
1AM,1AM16CS147,3.67
1AM,1AM16CS148,7.67
1AM,1AM16CS149,3
1AM,1AM16CS150,4.42
1AM,1AM16CS151,3.92
1AM,1AM16CS152,3.17
1AM,1AM16CS153,5.42
1AM,1AM16CS154,4.33
1AM,1AM16CS155,4.33
1AM,1AM16CS156,4.5
1AM,1AM16CS157,4.75
1AM,1AM16CS158,4.25
1AM,1AM16CS159,7.08
1AM,1AM16CS160,7.58
1AM,1AM16CS161,6.33
1AM,1AM16CS162,8.75
1AM,1AM16CS163,8
1AM,1AM16CS164,7.92
1AM,1AM16CS165,8.5
1AM,1AM16CS166,8.5
1AM,1AM16CS168,7.83
1AM,1AM16CS169,7.5
1AM,1AM16CS170,4.5
1AM,1AM16CS171,7.08
1AM,1AM16CS172,7.5
1AM,1AM16CS173,8.17
1AM,1AM16CS174,8.08
1AM,1AM16CS175,2.75
1AM,1AM16CS176,6.33
1AM,1AM16CS177,4.33
1AM,1AM16CS178,7.08
1AM,1AM16CS179,6.5
1AM,1AM16CS180,8.25
1AM,1AM16CS181,6.92
1AM,1AM16CS182,7.08
1AM,1AM16CS183,8.5
1AM,1AM16CS184,8.75
1AM,1AM16CS185,3.33
1AM,1AM16CS186,3.83
1AM,1AM16CS187,8.58
1AM,1AM16CS188,2.92
1AM,1AM16CS189,8.75
1AM,1AM16CS190,6.42
1AM,1AM16CS191,3.58
1AM,1AM16CS192,5.17
1AM,1AM16CS193,8.42
1AM,1AM16CS194,3.08
1AM,1AM16CS195,2.17
1AM,1AM16CS196,7.75
1AM,1AM16CS197,3.92
1AM,1AM16CS198,2.33
1AM,1AM16CS199,6.17
1AM,1AM16CS200,4
1AM,1AM16CS201,6.75
1AM,1AM16CS202,8.42
1AM,1AM16CS203,8.5
1AM,1AM16CS204,1.58
1AM,1AM16CS205,6.33
1AO,1AO16CS001,1.25
1AO,1AO16CS002,2.17
1AP,1AP16CS001,4.33
1AP,1AP16CS002,8.17
1AP,1AP16CS003,8.17
1AP,1AP16CS004,7.75
1AP,1AP16CS005,5
1AP,1AP16CS006,8.17
1AP,1AP16CS007,7.42
1AP,1AP16CS008,5.75
1AP,1AP16CS009,9.08
1AP,1AP16CS010,3.92
1AP,1AP16CS012,8.08
1AP,1AP16CS013,3.92
1AP,1AP16CS014,7.75
1AP,1AP16CS015,7.5
1AP,1AP16CS016,8.08
1AP,1AP16CS017,8.83
1AP,1AP16CS018,6
1AP,1AP16CS019,6.17
1AP,1AP16CS020,5.83
1AP,1AP16CS021,9.08
1AP,1AP16CS022,4.25
1AP,1AP16CS023,5.42
1AP,1AP16CS024,7.58
1AP,1AP16CS025,8.42
1AP,1AP16CS026,8.92
1AP,1AP16CS027,8.33
1AP,1AP16CS028,7.33
1AP,1AP16CS029,6.25
1AP,1AP16CS030,5.08
1AP,1AP16CS031,8.75
1AP,1AP16CS032,7.67
1AP,1AP16CS033,6.25
1AP,1AP16CS034,4.17
1AP,1AP16CS035,6.67
1AP,1AP16CS036,7.08
1AP,1AP16CS037,7
1AP,1AP16CS038,6.83
1AP,1AP16CS039,7.75
1AP,1AP16CS040,7.83
1AP,1AP16CS041,5.25
1AP,1AP16CS043,8.25
1AP,1AP16CS044,4.08
1AP,1AP16CS045,7.08
1AP,1AP16CS046,8.83
1AR,1AR16CS001,6.58
1AR,1AR16CS003,7.83
1AR,1AR16CS004,6.17
1AR,1AR16CS005,8.08
1AR,1AR16CS006,4.92
1AR,1AR16CS008,6.08
